#{"t_start": 1737551279.721715, "env_id": "None"}
r,l,t
-305.039604,13,4.848985
-317.79324,33,12.502369
-320.968451,16,13.99842
-367.591935,95,23.846056
-351.321574,88,32.838984
-317.997567,62,39.179579
696.640473,32,42.541289
-316.774079,85,51.363121
-306.40309,23,53.714821
-306.313328,36,57.428053
-310.115204,39,61.448527
-309.887693,24,63.90592
-319.098258,28,66.790615
-313.613166,22,69.073625
-315.056531,38,73.002117
-320.494046,15,74.517417
-369.889552,140,88.235501
-330.274895,31,91.40399
-324.427264,22,93.650013
-342.151212,42,97.914793
-387.272331,99,107.993547
-104.149939,500,158.213783
-130.280495,500,208.158268
-470.117768,492,258.064512
-809.794701,500,309.381745
516.589951,354,346.240484
-144.541181,500,397.8509
-200.893222,500,445.687263
-180.177132,500,496.48212
691.392144,36,500.241966
-154.662173,500,548.534308
-137.48685,500,598.279235
-83.877196,500,644.215346
-219.451674,500,691.629791
-206.815035,500,740.670981
-389.272169,200,759.50033
-303.640404,16,761.108132
-305.360814,13,762.444838
-235.898446,500,812.707404
-264.689652,500,859.553852
-405.485659,500,904.671547
-537.717525,500,950.041032
-491.817798,500,996.081971
-466.943327,500,1044.275568
-482.689466,500,1090.674623
-475.078082,500,1139.598867
-431.658492,500,1186.337083
-695.312379,500,1232.306602
-232.943884,500,1279.645571
-178.358389,500,1328.84023
-234.550136,500,1378.861874
-331.946582,70,1385.905596
-154.880965,500,1436.909519
-89.995678,500,1485.906416
-157.318137,500,1533.315519
-351.148248,345,1566.45137
-245.60234,500,1614.290464
-74.178351,500,1665.963973
-154.473516,500,1715.80965
-139.106591,500,1767.738031
691.909326,61,1774.085919
-310.142062,36,1777.844549
-324.603655,45,1782.492256
-324.826017,45,1787.083526
-310.914894,47,1791.882172
-314.728209,42,1796.194448
-307.458805,38,1800.118366
-305.161412,41,1804.368972
-316.219354,50,1809.47156
-310.761538,53,1814.877404
-314.528556,57,1820.637429
-312.029815,48,1825.613851
-54.640599,500,1871.671479
664.211559,282,1898.335456
-185.853878,500,1944.407052
-317.081439,18,1946.175768
-314.275281,14,1947.579021
-129.763199,500,1996.84264
-84.11529,500,2047.046458
-408.112459,147,2061.940961
-320.964139,30,2064.928575
-434.11588,167,2080.358557
-337.227616,41,2084.388846
-120.836506,500,2133.526022
-322.667773,29,2136.503863
-416.926786,148,2151.138804
-326.509586,54,2156.594631
694.438847,45,2161.226215
-311.970596,500,2210.511657
-319.747827,112,2221.478981
-446.627974,150,2236.155355
699.250869,13,2237.497988
-236.455611,500,2286.204994
691.328659,26,2288.908502
-329.670198,41,2293.180272
-72.483756,500,2342.156103
-330.832948,132,2355.808188
-316.946511,42,2360.136311
-272.377223,500,2409.653509
-348.071539,58,2415.689073
-56.95592,500,2461.993745
-83.628179,500,2507.109142
-164.869087,500,2549.348675
-404.941962,500,2595.549628
653.594268,353,2628.672649
-407.448462,500,2673.400666
-52.323697,500,2718.613517
-226.53602,500,2766.802691
-60.488801,500,2815.371852
-528.785548,338,2844.198754
-238.433048,500,2890.515494
-318.801255,500,2938.945522
-238.232573,500,2984.651205
-263.978285,500,3031.211789
-477.164651,500,3077.342833
-475.579001,500,3125.106775
-151.733756,500,3173.315806
-470.537691,192,3192.10029
-599.013065,384,3228.579677
-99.71336,500,3276.008166
-834.834222,500,3323.848069
-554.303412,500,3371.155062
-239.830326,500,3416.795999
-266.245743,500,3461.979543
-309.06947,500,3508.442272
647.172265,348,3541.89007
-385.321445,500,3590.622911
-123.377072,500,3640.334221
-422.387098,500,3690.551028
-837.750003,500,3738.255619
-293.643679,500,3788.62916
-248.658082,500,3839.660034
-185.636313,500,3890.694806
-344.114434,500,3939.363375
-697.133272,500,3985.789004
-338.12929,99,3995.631847
-608.627997,310,4024.447949
-183.021505,500,4072.311453
-305.796723,500,4116.657367
-145.450813,500,4161.8819
-95.072736,500,4209.740635
-220.705912,500,4256.933635
-202.349265,500,4304.28518
-181.708542,500,4352.565539
-57.369065,500,4400.223083
-33.648692,500,4449.373181
-145.424801,500,4497.244823
-163.292823,500,4547.36076
-303.598561,10,4548.349634
-235.089457,500,4597.180334
-69.749258,500,4646.673858
-118.700012,500,4694.933416
-118.773273,500,4745.891016
-21.87207,500,4793.314297
-198.273299,500,4839.408232
-427.308983,263,4864.544498
-108.340871,500,4913.328291
-69.31621,500,4963.579392
-282.339454,500,5010.624247
-136.804373,500,5059.989004
-233.183554,500,5109.45407
-280.208074,500,5154.464993
-172.381021,500,5200.131905
-79.61672,500,5246.39151
-387.121882,500,5291.479798
-357.547544,132,5303.920995
-175.699625,500,5349.10246
-182.505943,500,5395.668099
-208.619113,500,5441.042267
637.38608,93,5450.210628
-324.481834,500,5497.767532
-105.530803,500,5545.922849
-156.652362,500,5594.166091
-322.520973,40,5598.102246
-489.513572,500,5642.32008
-351.127573,84,5650.582315
-270.082823,500,5697.727513
-50.177856,500,5741.113115
-121.872183,500,5780.516502
-288.027545,500,5820.440175
-359.113143,118,5831.894162
-290.865398,500,5879.735212
-455.417839,500,5922.492057
-368.159618,500,5960.208733
-324.849445,47,5965.069366
-57.155618,500,6008.17951
-343.573703,500,6052.709855
-322.022853,40,6056.835649
-312.882344,23,6059.168534
-491.082153,500,6104.350865
-653.786276,481,6151.504535
-320.702662,51,6156.677485
-490.06073,308,6183.335561
-91.730388,500,6227.513561
-588.369851,334,6258.865257
-376.966869,198,6277.977623
-374.940148,168,6294.214321
-526.946103,500,6340.561423
-612.422168,365,6376.043339
-485.857155,309,6406.568292
-349.180366,70,6413.468089
-388.587,157,6428.954131
-127.936385,500,6470.666038
-424.286152,500,6519.649302
-450.941396,500,6568.829557
-147.499516,500,6610.321313
-246.45986,500,6662.112537
-432.667116,169,6679.190023
-365.1635,500,6727.296637
-239.036211,500,6769.35907
-433.812889,500,6814.083148
-381.652462,500,6858.909474
-584.00225,500,6903.685213
-147.772427,500,6946.777564
-171.331171,500,6988.254097
-76.074633,500,7031.24485
-187.875839,500,7074.831864
-337.632751,500,7120.866972
-229.301345,500,7166.055099
-193.544415,500,7213.119059
-462.681476,172,7228.723886
682.93484,94,7238.230627
-193.790225,500,7286.731138
-498.398663,433,7326.096597
-211.287034,500,7372.66977
-43.445809,500,7419.922001
-129.142516,500,7468.730441
-58.659515,500,7516.437652
-138.250045,500,7564.529909
-267.064557,500,7611.484497
-377.676038,500,7657.47167
-74.307112,500,7705.992178
-170.1962,500,7753.813921
-109.137469,500,7801.668572
-173.447872,500,7848.441331
-84.17144,500,7897.957066
660.014517,153,7912.65134
-160.128979,500,7960.304145
-112.561513,500,8009.393327
-184.678041,500,8054.893343
684.237078,32,8058.082093
-157.076762,500,8101.49103
-261.223061,500,8146.22454
-272.943728,500,8191.392888
-290.15761,500,8239.0445
-108.205417,500,8288.08837
617.449561,499,8336.127781
-60.114059,500,8380.803595
-137.381925,500,8427.083824
-80.294426,500,8474.270227
-58.775201,500,8517.892136
-597.531661,318,8545.758799
-76.063573,500,8592.777798
-214.265861,500,8639.508507
-214.234577,500,8676.769433
-496.504401,500,8721.251503
-303.506969,4,8721.633507
-303.423167,6,8722.191206
-302.763082,4,8722.573549
-304.578916,6,8723.151181
-304.35728,5,8723.615557
-302.667358,4,8723.987164
-306.691971,6,8724.56527
-173.347372,500,8765.085383
-87.82082,500,8807.634681
-226.260253,500,8847.741536
-298.230329,500,8887.994078
-66.981019,500,8933.88464
-58.366847,500,8977.094764
-94.808392,500,9025.174743
-193.792205,500,9071.427532
-176.723976,500,9118.687119
-146.779175,500,9166.791777
-328.088048,81,9174.83214
-193.459609,500,9222.639374
-362.132646,220,9244.808544
-374.173117,233,9266.436123
-178.742761,500,9313.839775
-500.9586,500,9363.142092
682.005776,218,9382.279546
-483.617869,500,9432.639336
-252.435618,500,9481.778084
-248.022766,500,9527.46856
-427.533573,500,9571.739098
-171.476853,500,9619.87816
514.949634,470,9663.462059
-523.219272,500,9707.798913
660.241703,464,9746.743746
-360.306112,500,9793.753812
-657.054157,500,9838.76989
-573.658614,500,9885.028358
-205.188972,500,9931.573031
-473.371788,500,9979.638776
-546.076303,500,10027.274212
-571.658032,500,10077.792488
-444.022153,500,10125.789598
-485.895429,500,10175.47539
-662.476033,500,10224.525838
-265.700765,500,10271.185326
-791.168879,500,10315.539154
-127.09541,500,10362.36499
-197.717558,500,10406.28261
-213.762627,500,10450.587515
-192.282489,500,10495.197054
-206.824262,500,10534.803519
-232.701617,500,10580.241226
-174.935341,500,10624.381464
-429.1818,500,10670.948183
-360.72281,500,10714.550091
-400.319339,500,10760.592039
-242.877333,500,10806.380282
-119.184241,500,10850.864804
-149.136288,500,10894.943069
-276.66498,500,10938.506942
-277.239759,500,10977.289204
-520.152692,500,11021.229748
-618.889552,500,11065.158781
-184.399865,500,11110.489848
-481.463307,500,11155.549611
-214.689564,500,11196.235428
-441.081156,500,11242.720122
-485.538448,500,11287.479928
-372.001113,500,11331.640942
-541.235163,500,11372.937547
-691.51246,500,11416.076778
646.992561,74,11422.874079
-479.362582,500,11464.824624
-301.976749,500,11509.088068
-120.332276,500,11550.917089
-108.425231,500,11596.184632
-175.305544,500,11643.458349
-43.76856,500,11688.604519
686.654418,85,11697.266487
-30.713219,500,11742.12925
-209.397401,500,11785.133643
-380.205703,321,11813.255373
-24.089278,500,11862.664391
699.016204,25,11865.281431
-234.867462,500,11913.422388
-72.902836,500,11959.649915
699.294544,6,11960.293434
-93.999693,500,12005.968004
-106.965287,500,12051.046987
-106.085101,500,12100.199482
-80.116242,500,12150.471649
-247.595319,500,12197.279452
-60.018074,500,12242.078531
689.329369,184,12259.409412
-98.631337,500,12305.856118
-96.214962,500,12356.526155
-154.942572,500,12407.337205
-125.795371,500,12456.177044
-162.628719,500,12505.535289
-53.752341,500,12554.614827
-174.719548,500,12599.413543
-102.042928,500,12650.309377
-183.819195,500,12697.957145
-145.302065,500,12746.890008
-243.509614,500,12794.819854
-286.533776,500,12842.201038
-100.593047,500,12893.033653
-159.604494,500,12938.738373
-237.999961,500,12983.68097
-71.452705,500,13031.13551
-64.375973,500,13078.360531
-34.651427,500,13124.189825
-168.540335,500,13169.337012
-50.206573,500,13214.190598
-39.019821,500,13258.483248
-219.73602,500,13301.821564
-55.770714,500,13347.102099
697.146538,33,13350.320115
-186.206451,500,13396.134099
-76.542864,500,13444.339139
-98.410057,500,13492.146081
-115.669698,500,13538.981778
-336.405393,500,13586.307995
-142.318845,500,13634.900194
-159.673417,500,13682.039681
-219.63195,500,13731.278059
-115.018405,500,13782.250505
-41.698037,500,13832.020584
-169.57033,500,13881.743429
-67.796606,500,13931.025822
-94.714252,500,13977.149813
-115.373918,500,14026.109394
-62.816803,500,14072.83051
699.676215,5,14073.366476
-28.771157,500,14122.417445
-10.402375,500,14170.93581
-112.54387,500,14217.902697
-64.05558,500,14264.998791
-91.178607,500,14313.697525
-103.437439,500,14363.149501
-42.370262,500,14411.30939
-74.640681,500,14457.87157
-30.475457,500,14506.613056
-107.762111,500,14555.240753
-47.73002,500,14602.897048
-115.095509,500,14651.873301
-72.376479,500,14702.096549
-140.622397,500,14745.265288
-244.786936,500,14792.159845
-70.899347,500,14840.888003
-190.926036,500,14887.741555
-183.160923,500,14932.971801
-395.625848,100,14943.329053
-139.910951,500,14991.040574
-41.919848,500,15038.163988
-330.962111,39,15042.151608
-236.320002,500,15088.061514
-104.154053,500,15136.328131
-328.238429,35,15139.922286
-367.769218,39,15143.982185
696.950249,38,15147.833691
-325.104884,40,15151.866081
-353.451092,202,15170.86958
-214.248216,500,15219.830809
-353.787051,96,15228.939488
-82.226131,500,15273.756413
-321.908133,28,15276.659822
-319.350736,25,15279.273552
-380.101185,123,15290.538556
-377.826117,285,15316.870294
-316.007865,47,15321.658749
-322.859936,15,15323.156153
-319.345718,27,15325.982085
-343.23537,61,15332.104126
-321.573381,20,15334.157965
-319.542439,23,15336.493746
-319.872591,32,15339.769187
-186.294764,500,15383.567798
-192.121235,500,15420.423533
638.886959,157,15434.582007
-276.448745,500,15473.473965
-101.919961,500,15510.382015
-115.144648,500,15543.37523
-498.059044,139,15555.759207
-127.346971,500,15589.383029
-278.52375,500,15626.423137
-146.630847,500,15672.893686
-193.26962,500,15716.213543
-176.293491,500,15749.731057
-677.24855,500,15792.080435
-95.586491,500,15831.370536
-145.405049,500,15871.809
-304.097141,500,15910.337582
-166.130561,500,15953.466685
-491.159466,500,15996.53201
-312.259472,500,16042.827662
-496.400129,500,16085.09444
