#{"t_start": 1737039430.7126908, "env_id": "None"}
r,l,t
-300.845327,1,0.483574
-300.792607,1,0.515654
-300.569869,1,0.572229
-300.709991,1,0.600559
-300.797171,1,0.628232
-300.702784,1,0.654484
-300.705244,1,0.681548
-300.741341,1,0.709449
-300.693845,1,0.737358
-300.614882,1,0.764692
-300.797212,1,0.791817
-300.624303,1,0.824633
-300.624351,1,0.854163
-300.748185,1,0.886081
-300.849301,1,0.922888
-300.747391,1,0.954725
-300.744484,1,0.989109
-300.737256,1,1.021074
-300.658018,1,1.053967
-300.763296,1,1.08547
-300.898796,1,1.117326
-300.614882,1,1.149172
-300.587118,1,1.180677
-300.712924,1,1.217611
-300.531828,1,1.251548
-300.77264,1,1.280424
-300.685008,1,1.312767
-300.861359,1,1.342797
-300.872219,1,1.377118
-300.597404,1,1.408344
-300.669586,1,1.440697
-300.96609,1,1.472648
-300.807337,1,1.504765
-300.792059,1,1.536939
-300.699397,1,1.570387
-300.765215,1,1.602179
-300.979012,1,1.672673
-301.015759,1,1.71343
-300.877453,1,1.740479
-300.931228,1,1.772653
-300.563682,1,1.800382
-300.831711,1,1.828704
-300.904946,1,1.856016
-300.686374,1,1.889154
-300.811455,1,1.92073
-300.779622,1,1.952404
-300.742471,1,1.985233
-300.659126,1,2.016516
-300.821919,1,2.050621
-301.087617,1,2.084764
-300.601341,1,2.116738
-300.794844,1,2.148266
-300.950798,1,2.180834
-300.85948,1,2.214996
-301.009233,1,2.244733
-300.873474,1,2.276859
-300.778166,1,2.313289
-300.699453,1,2.344886
-300.607718,1,2.376906
-301.029364,1,2.408928
-300.672648,1,2.43884
-300.99853,1,2.472584
-300.548453,1,2.505576
-300.998013,1,2.570736
-300.933971,1,2.603522
-300.729875,1,2.635515
-300.90133,1,2.667956
-300.742159,1,2.702448
-300.84762,1,2.739452
-300.903306,1,2.768426
-300.729966,1,2.795901
-301.006711,1,2.824324
-300.818061,1,2.856528
-300.775061,1,2.884362
-300.566817,1,2.916932
-300.924602,1,2.948651
-300.627698,1,2.979874
-300.878021,1,3.016134
-300.627317,1,3.048308
-300.672681,1,3.080949
-300.564809,1,3.112217
-300.977151,1,3.143014
-300.738202,1,3.178949
-300.95426,1,3.208643
-301.023666,1,3.275971
-300.580577,1,3.308529
-300.68147,1,3.340148
-300.757289,1,3.371617
-301.112258,1,3.402337
-300.622487,1,3.434755
-300.933992,1,3.468603
-300.840491,1,3.502719
-300.74352,1,3.533939
-300.723055,1,3.577483
-301.014769,1,3.612251
-301.099497,1,3.647852
-301.005074,1,3.688611
-300.697816,1,3.716271
-301.067371,1,3.74369
-300.935106,1,3.771944
-300.717213,1,3.802533
-301.067593,1,3.831814
-300.948964,1,3.864626
-300.812382,1,3.896434
-300.726356,1,3.928838
-300.836227,1,3.964301
-300.98365,1,3.997023
-300.888789,1,4.028614
-300.750706,1,4.060838
-300.62589,1,4.091194
-300.798678,1,4.126613
-300.767397,1,4.156818
-301.087937,1,4.188689
-300.697647,1,4.220613
-300.816501,1,4.255489
-300.988774,1,4.28909
-300.743515,1,4.320693
-300.892422,1,4.353358
-300.745889,1,4.385216
-300.895072,1,4.416959
-301.009703,1,4.450421
-300.900694,1,4.482518
-301.00818,1,4.516195
-300.898611,1,4.55023
-301.033211,1,4.595539
-300.769228,1,4.62851
-300.70578,1,4.664459
-300.911004,1,4.70495
-300.893453,1,4.73176
