#{"t_start": 1737469967.5592072, "env_id": "None"}
r,l,t
-311.746648,20,7.180594
-369.890343,90,21.717718
-304.234818,9,22.620952
-378.504686,150,38.109839
-315.165511,27,40.92206
-307.99497,22,43.144027
-325.508358,51,48.453263
-414.677997,145,62.976129
-319.918468,33,66.358309
-328.793593,51,71.610683
-317.001058,24,74.099753
-309.900994,10,75.086848
-310.240294,10,76.110519
-309.421334,11,77.21194
-308.217898,10,78.209543
-378.806995,115,90.085397
-346.163714,58,96.104179
-446.064361,500,145.45811
-387.351526,500,196.565377
-349.418864,500,248.586338
-325.809748,500,299.832283
-390.559557,500,349.601952
-434.352246,310,380.461258
-415.72505,500,431.478536
-300.000265,500,483.742995
-233.025033,500,537.148076
-391.396151,500,588.960242
-491.137091,500,640.241812
-400.115717,139,654.740059
-329.236916,44,659.30056
-355.689021,500,709.411124
-433.983945,217,732.56547
-305.061063,13,733.886666
-304.406671,12,735.133098
-411.484008,500,785.220098
-407.905269,500,834.213348
-444.656643,500,883.485541
-347.913538,94,893.289038
-306.206209,500,944.653626
-430.485796,241,968.147912
-318.734178,33,971.545965
-344.076657,85,980.320989
-343.900739,66,986.899547
-321.012261,500,1034.845105
-356.165848,500,1082.854759
-344.609235,500,1132.607793
-348.687147,500,1183.489773
-358.599141,500,1232.149267
-363.45009,500,1279.194853
-355.504485,500,1329.485837
-363.673984,57,1335.149835
-358.661151,52,1340.370555
-521.259759,276,1367.616725
-311.510655,31,1370.87657
-349.441476,70,1377.937524
697.163124,14,1379.445062
696.201521,14,1380.977059
-306.41865,24,1383.528117
696.814576,14,1385.058619
696.396577,15,1386.693516
-355.90722,94,1396.359439
696.519439,14,1397.867595
697.358412,12,1399.168665
697.054674,13,1400.562896
-423.349702,205,1418.50938
696.608466,14,1420.009367
-251.998199,500,1470.531074
-432.118773,238,1494.894493
-338.537334,159,1508.973258
-350.260697,500,1550.449231
-363.561696,500,1592.482067
-307.01781,37,1596.253804
-451.927971,500,1637.20076
-433.282656,500,1682.708661
-322.973351,35,1686.306392
-324.400719,40,1690.313378
-317.64634,37,1694.080268
-360.150617,500,1742.266054
-275.144424,500,1790.062306
-308.050342,500,1838.825317
-328.067896,42,1843.13477
-335.097918,59,1849.174041
-333.612889,65,1856.038925
-329.38728,47,1860.815758
-334.666598,52,1866.159041
-326.121707,37,1869.960097
-324.974537,34,1873.49206
-326.475172,35,1877.104632
-415.163011,500,1926.796964
-390.685307,500,1976.880576
-474.527294,500,2025.659274
-424.93129,500,2073.469463
-385.244913,500,2119.989286
-320.101519,35,2123.59931
-428.112013,500,2171.99578
-428.920232,500,2222.055368
-458.342241,500,2272.455743
-430.035529,500,2322.150792
-447.6031,500,2369.476994
-444.942918,500,2419.997344
-425.301185,500,2469.8082
-445.447195,500,2518.703617
-413.288551,500,2562.821939
-176.166667,500,2610.116446
-308.124483,500,2660.622013
-391.984133,500,2711.286958
-312.239336,500,2757.1992
-403.922827,500,2804.375294
-334.884084,500,2849.600819
-288.122549,500,2894.734887
-336.530522,500,2941.971296
-328.335177,500,2989.412633
-354.631379,500,3037.841725
-208.881663,500,3088.554085
-326.657379,500,3138.126591
-639.509935,455,3184.239965
-324.314482,32,3187.550319
-371.367898,91,3197.015664
-392.629085,116,3209.13819
