#{"t_start": 1737344187.4441342, "env_id": "None"}
r,l,t
-922790.26393,2000,22.68028
-874719.12836,2000,52.382168
-980419.734358,2000,59.349042
-953193.028322,2000,72.441141
-968828.553619,2000,82.100207
-694336.974699,2000,149.530541
-875189.365624,2000,178.948158
-939747.640021,2000,194.698961
-967818.396445,2000,204.604756
-905808.292249,2000,227.357193
-983525.711682,2000,234.355286
-993104.906927,2000,238.880937
-880700.518152,2000,267.168615
-911721.734932,2000,288.488849
-929379.97107,2000,305.882098
-939449.504865,2000,321.520079
-890251.162737,2000,347.519911
-946166.140798,2000,361.811266
-963958.291986,2000,372.351853
-993798.773913,2000,376.632763
-958038.843883,2000,388.215156
-799318.916029,2000,433.693421
-870840.233282,2000,464.170551
-983314.288851,2000,470.561851
-907346.407274,2000,493.066238
-827981.655298,2000,532.742504
-973969.302971,2000,540.812958
-873617.220945,2000,570.748853
-906430.816044,2000,593.707551
-961280.320294,2000,604.930892
-967365.251866,2000,614.945591
-889161.315116,2000,641.351866
-1039.463357,63,647.891797
-850093.065359,2000,681.90203
-909347.732266,2000,703.653691
-944304.485315,2000,718.137571
-588015.651415,1225,724.760901
-961588.861682,2000,736.229104
-993982.81896,2000,740.544092
-960423.69882,2000,751.9012
-960713.51451,2000,763.307933
-876168.140786,2000,792.80378
-909303.232333,2000,815.062097
-958713.568472,2000,826.895688
-975553.056242,2000,834.968918
-959677.136716,2000,846.512718
-834480.399938,2000,884.384742
-940621.221621,2000,900.277361
-902381.759929,2000,923.598715
-867423.521198,2000,954.556248
-865757.859133,2000,986.477844
-772689.348299,2000,1037.468995
-950573.106227,2000,1050.687418
-981397.735596,2000,1057.292602
-850385.651523,2000,1091.947039
-912498.039714,2000,1112.924018
-919635.710702,2000,1132.816226
-859202.283378,2000,1165.258645
-976354.474498,2000,1173.202971
-926931.377004,2000,1192.097345
-931833.461473,2000,1209.194352
-728964.418354,2000,1269.562028
-863538.580941,2000,1300.947276
-930446.343397,2000,1318.408528
-856926.75064,2000,1351.850962
-922419.584648,2000,1371.717897
-904084.434205,2000,1394.256836
-839269.028923,2000,1430.624071
-976834.478833,2000,1438.801357
-951797.36359,2000,1451.774483
-800619.864619,2000,1497.198565
-920860.963324,2000,1517.181365
-969769.450496,2000,1526.37871
-923037.916992,2000,1545.510783
-811165.627782,2000,1588.880016
-751419.373022,2000,1644.746671
-944900.682848,2000,1659.257017
-984228.762608,2000,1665.332222
-842342.355594,2000,1701.994308
-868134.326056,2000,1733.442515
-891899.10772,2000,1758.963534
-973192.247377,2000,1767.516668
-931217.7332,2000,1785.092877
-924934.445528,2000,1804.078959
-906338.462557,2000,1826.813728
-966421.237469,2000,1837.044627
-860412.421991,2000,1869.23103
-899810.202733,2000,1893.486811
-945594.351647,2000,1907.573688
-898030.912949,2000,1932.045029
-952066.209461,2000,1945.02327
-961342.661854,2000,1956.149371
-920193.620871,2000,1975.797962
-909150.414174,2000,1997.968734
-969984.309756,2000,2007.350075
-830706.820247,2000,2045.92651
-921515.198727,2000,2065.266854
-879278.630011,2000,2093.684364
-854292.876471,2000,2127.518852
-746466.040626,2000,2184.52503
-974566.109284,2000,2192.639553
-947786.728067,2000,2206.614698
-976572.08879,2000,2214.629509
-894904.343489,2000,2240.084332
-857617.085474,2000,2273.499732
-866217.284024,2000,2305.052761
-899776.969309,2000,2329.762924
-982674.560344,2000,2336.31236
-876971.195963,2000,2365.013262
-940577.740158,2000,2380.351755
-969992.071317,2000,2389.35878
-820450.809246,2000,2430.945347
-903659.040317,2000,2454.342589
-807760.906261,2000,2498.181956
-867887.292749,2000,2529.075477
-972566.139357,2000,2537.743382
-993997.50568,2000,2541.922101
-905838.703055,2000,2564.569052
-900221.122319,2000,2588.795769
-846497.46264,2000,2624.037042
-885866.037281,2000,2651.144668
-861193.866432,2000,2683.614141
-952101.93021,2000,2696.483945
-846402.255921,2000,2732.398746
-950738.431193,2000,2745.847063
-909901.616185,2000,2767.653929
-880858.984915,2000,2796.268826
-971298.494941,2000,2805.694716
-799335.949106,2000,2851.091499
-982831.677342,2000,2857.80208
-827735.320151,2000,2897.511036
-776431.296654,2000,2948.293029
-973346.324401,2000,2956.748489
-789602.772222,2000,3004.402657
-985575.514646,2000,3010.481616
-798346.564026,2000,3055.957885
-939429.123894,2000,3071.308868
-963778.732527,2000,3082.276515
-992106.59457,2000,3087.084552
-887653.083376,2000,3114.359329
-945736.036518,2000,3129.710258
-756463.658409,2000,3184.249721
-887675.279251,2000,3211.148236
-908152.493329,2000,3234.068213
-951086.642006,2000,3247.426753
-926129.48159,2000,3265.888884
-997299.760121,2000,3269.33881
-991456.925055,2000,3273.892442
-963190.318694,2000,3284.369885
-815979.144869,2000,3326.28986
-905190.307722,2000,3349.41565
-900427.726105,2000,3373.369727
-967868.311847,2000,3383.264931
-923042.809211,2000,3402.34621
-917425.44187,2000,3422.609621
-956426.766438,2000,3434.587122
-826851.091875,2000,3473.854636
-981634.702958,2000,3480.857685
-933689.417648,2000,3497.76114
-900136.683385,2000,3522.286647
-975382.095498,2000,3530.733108
-900581.535985,2000,3554.931622
-878507.352751,2000,3583.761042
-963834.52446,2000,3594.373981
-925839.788976,2000,3613.158127
-679353.648567,2000,3683.969135
-926184.138178,2000,3702.822417
-980487.889364,2000,3710.550669
-942922.752989,2000,3725.527256
-882174.780532,2000,3753.215811
-910676.295375,2000,3775.484592
-878046.534381,2000,3803.947877
-983269.84659,2000,3810.251369
-883707.085195,2000,3838.282618
-834315.238772,2000,3875.757744
-787914.471655,2000,3923.347035
-904519.230582,2000,3946.792759
-990773.003445,2000,3951.516498
-892618.133277,2000,3977.07782
-887858.32323,2000,4003.646528
-935625.487973,2000,4020.114151
-949188.603484,2000,4033.791942
-853181.851824,2000,4067.462384
-957204.526857,2000,4078.85131
-901041.810769,2000,4103.455402
-982108.914767,2000,4110.294306
-919634.38752,2000,4130.122581
-945230.354036,2000,4144.365871
-930946.655964,2000,4162.023763
-925041.514933,2000,4180.684616
-921403.21981,2000,4200.004863
-928780.198996,2000,4218.217259
-922322.921943,2000,4237.379141
-797640.003057,2000,4283.142329
-889510.690704,2000,4309.301641
-974858.759581,2000,4317.474519
-985888.604563,2000,4323.619131
-952271.178935,2000,4336.944569
-965812.938531,2000,4346.69075
-796465.291396,2000,4392.207781
-988835.58165,2000,4397.473801
-760119.523431,2000,4451.63254
-800104.629719,2000,4496.580644
-953151.916955,2000,4509.369702
-875465.045513,2000,4539.180537
-960959.024165,2000,4549.964282
-919664.097287,2000,4569.856658
-949742.070919,2000,4583.680965
-915073.303949,2000,4604.841262
-869660.483682,2000,4635.123295
-825927.235634,2000,4675.283415
-886215.69654,2000,4702.682009
-990248.880412,2000,4707.747386
-801422.026005,2000,4752.714932
-953061.216007,2000,4765.553314
-933902.581117,2000,4782.736536
-953969.498664,2000,4795.548899
-796332.42285,2000,4842.073105
-908593.229859,2000,4864.089064
-910579.52867,2000,4885.398888
-718815.609816,2000,4947.791493
-971020.790789,2000,4956.740763
-957237.336775,2000,4968.769357
-972640.299432,2000,4977.378704
-913181.210563,2000,4998.699006
-929000.156466,2000,5016.413451
-964392.441475,2000,5026.881023
-862829.207253,2000,5058.583625
-932542.573949,2000,5075.990227
-988494.760619,2000,5081.262965
-958487.197775,2000,5092.660072
-906612.488565,2000,5115.456203
-964190.645952,2000,5126.28007
-885470.059321,2000,5153.498093
-890719.341224,2000,5179.470776
-888629.459308,2000,5205.964495
-812509.967805,2000,5248.782664
-918489.747378,2000,5268.743145
-931839.571125,2000,5285.760112
-907028.240246,2000,5308.813503
-966496.528712,2000,5318.788079
-941185.970948,2000,5334.021195
-984785.969386,2000,5340.33228
-894867.725807,2000,5365.758447
-937337.597649,2000,5381.784667
-920374.275851,2000,5401.632249
-887397.310988,2000,5428.603103
-962100.577119,2000,5439.743851
-929465.492202,2000,5457.675059
-963042.114907,2000,5468.7161
-760170.840741,2000,5522.647174
-944805.219078,2000,5537.220383
-926270.058014,2000,5555.915792
-919634.209519,2000,5575.980258
-830718.652331,2000,5614.805668
-911083.256332,2000,5636.752261
-911819.409415,2000,5657.978706
-999378.682706,2000,5661.148504
-970003.033937,2000,5670.160168
-915694.726909,2000,5691.268076
-932292.190839,2000,5708.395963
-954321.416502,2000,5721.354178
-874781.090508,2000,5750.439182
-799659.899113,2000,5795.691053
-950826.182963,2000,5809.109643
-988066.399874,2000,5814.683354
-993529.900345,2000,5818.932392
-868629.25834,2000,5849.391419
-916222.329182,2000,5870.160443
-957204.200542,2000,5881.861768
-764248.237334,2000,5935.057566
-948407.396157,2000,5949.16284
-972476.408536,2000,5957.805381
-897314.318607,2000,5982.643771
-906195.709416,2000,6005.759681
-907257.631791,2000,6028.26137
-854719.618066,2000,6061.936531
-825507.62658,2000,6102.45409
-964600.200503,2000,6113.207732
-916991.187633,2000,6134.033508
-834281.317748,2000,6171.97367
-897256.757454,2000,6196.678826
-859663.453321,2000,6228.880264
-979449.012754,2000,6236.12301
-839643.945455,2000,6273.005307
-931323.216737,2000,6290.599487
-766981.814636,2000,6342.640258
-942696.818777,2000,6357.745309
-921351.684073,2000,6377.022673
-879710.416602,2000,6405.813065
-988420.84164,2000,6411.328349
-898574.177619,2000,6435.387054
-778375.911473,2000,6485.348996
-785968.504734,2000,6533.703686
-930495.640986,2000,6551.585194
-897961.781155,2000,6576.6921
-806362.28928,2000,6620.931876
-855291.159467,2000,6654.478612
-973809.760811,2000,6662.802014
-917889.037313,2000,6683.115616
-939760.688932,2000,6698.758598
-826079.086575,2000,6738.55185
-928985.165163,2000,6756.221152
-977768.325568,2000,6763.712914
-932867.400606,2000,6780.715492
-887453.740977,2000,6807.67083
-941819.703186,2000,6822.854628
-782022.022662,2000,6871.862828
-876954.645415,2000,6900.649271
-971781.237372,2000,6909.572119
-893507.352373,2000,6935.049436
-949884.422751,2000,6948.424748
-767920.228763,2000,7000.552621
-981255.681795,2000,7007.579099
-946843.014092,2000,7021.704923
-827448.32824,2000,7061.289589
-965037.506821,2000,7071.579111
-934415.524997,2000,7088.312538
-896846.039417,2000,7113.423368
-726226.590955,2000,7174.454623
-788519.277321,2000,7222.591382
-936893.811427,2000,7238.907783
-833832.948063,2000,7276.898512
-976976.722483,2000,7284.79343
-876530.247833,2000,7314.180611
-972807.977556,2000,7322.968535
-911902.208949,2000,7344.597549
-978423.690483,2000,7352.146073
-937140.528655,2000,7368.079293
-965460.889638,2000,7378.023376
-856176.412066,2000,7411.93652
-991547.686138,2000,7416.742809
-925904.223544,2000,7435.049885
-902325.446322,2000,7458.575614
-816261.429457,2000,7500.557399
-803853.935627,2000,7545.509613
-948180.923503,2000,7559.213815
-954322.565209,2000,7571.432929
-837763.320077,2000,7608.939914
-934521.434889,2000,7625.546451
-999502.774552,2000,7628.574323
-952499.382208,2000,7641.523186
-941719.003934,2000,7656.973938
-945238.609855,2000,7671.558402
-938649.749717,2000,7687.35987
-932842.164931,2000,7704.110351
-818307.29362,2000,7745.610862
-931796.166666,2000,7763.138242
-867074.648986,2000,7793.938398
-933303.515313,2000,7810.952319
-786498.784001,2000,7859.724056
-831345.44859,2000,7898.343741
-933606.401863,2000,7915.206823
-906345.022715,2000,7937.97526
-949155.428031,2000,7951.54511
-951090.156933,2000,7964.862705
-894287.765782,2000,7990.503303
-610258.81071,2000,8076.074641
-977108.144471,2000,8084.064915
-944066.551554,2000,8099.229621
-850776.225206,2000,8133.754858
-852351.273024,2000,8167.850345
-906212.699244,2000,8190.572387
-748661.272452,2000,8246.304674
-919342.406398,2000,8266.100717
-908868.921607,2000,8288.274839
-948341.398295,2000,8301.979725
-911541.009206,2000,8323.811946
-850012.287699,2000,8358.452865
-966743.78056,2000,8368.073861
-983269.684828,2000,8374.879414
-606044.797496,1327,8388.632822
-883400.149774,2000,8416.4452
-891414.850853,2000,8442.263795
-869680.141609,2000,8472.805954
-843970.646647,2000,8508.475487
-952994.687,2000,8521.475249
-884300.161342,2000,8548.477857
-772769.139742,2000,8599.698696
-969717.813587,2000,8609.079715
-906167.530696,2000,8631.774232
-907052.281681,2000,8654.543808
