#{"t_start": 1740625355.854147, "env_id": "None"}
r,l,t
4.447197,31,1.955846
2.809306,68,4.168001
4.009382,74,6.576063
4.963301,5,6.741806
4.881246,13,7.163324
4.018589,45,8.620173
2.720127,102,11.933834
-13.954355,1000,29.715495
-0.080705,104,29.880538
-1.096327,115,30.063386
1.057687,111,30.245407
4.621603,24,30.284716
-22.279197,1000,32.102775
0.404341,244,32.485497
4.830634,15,32.509543
4.83718,14,32.530846
3.75143,80,32.663222
2.778183,61,32.762389
0.369809,95,32.919441
1.808743,74,33.042011
3.655475,48,33.121123
1.47272,86,33.265013
3.932312,33,33.319556
-53.225287,130,33.520132
4.504245,27,33.578119
4.40681,31,33.626691
2.994336,60,33.723224
3.796546,55,33.809801
3.611708,50,33.891487
2.821659,61,33.994202
4.661079,20,34.024854
4.812438,13,34.048331
3.958195,31,34.102247
-51.106696,39,34.167741
4.804499,18,34.214195
4.870174,13,34.236181
4.846688,15,34.262403
3.480604,58,34.358886
3.394005,60,34.54742
2.518588,73,34.671626
3.547864,52,34.761808
4.513502,19,34.7925
-67.79829,357,35.375627
4.354651,36,35.447771
4.244769,42,35.518532
-0.064824,108,35.690148
-44.211424,1000,36.965059
-54.667784,66,37.045249
4.821756,17,37.080975
3.363205,57,37.152607
3.900655,39,37.199291
-1.270985,116,37.337811
1.523941,87,37.527538
2.067563,77,37.662534
0.809596,91,37.776356
-0.357891,113,37.911291
0.645563,101,38.035855
4.355501,32,38.075737
1.352541,86,38.178677
2.027932,82,38.279001
-84.949379,543,38.927952
4.52752,26,38.975668
3.704723,45,39.029063
2.194076,87,39.136232
-53.640186,92,39.248637
3.96508,47,39.3193
4.593005,22,39.346937
-58.41342,1000,40.625847
-55.740171,70,40.711653
3.85582,44,40.778595
-13.577542,1000,41.951488
3.300275,122,42.099255
4.368223,39,42.146338
-0.017997,102,42.285367
-15.383816,1000,43.57176
-1.157714,111,43.710772
1.237823,86,43.822658
0.250687,258,44.13685
4.819139,14,44.155278
3.391043,75,44.289176
0.545058,107,44.418498
-14.161131,1000,45.70873
3.876465,45,45.7662
3.090013,61,45.83989
-1.509396,112,45.976989
-29.392283,1000,47.170014
-0.618695,116,47.307652
-24.488881,1000,48.577637
-0.783073,166,48.775438
-98.693816,869,49.837692
4.670116,24,49.883211
4.683315,26,49.916075
4.625345,24,49.945865
4.41001,37,49.988988
-80.45476,706,50.903324
3.979565,45,50.975807
-12.791302,1000,52.161517
1.553614,83,52.262071
1.380052,85,52.363954
3.386641,58,52.436432
-12.058055,1000,53.697093
-14.988327,1000,54.89951
0.491316,300,55.251288
-50.159144,13,55.267758
4.748746,17,55.30621
3.866576,49,55.443752
4.762803,14,55.461886
-52.142248,58,55.530994
4.90954,10,55.55939
3.135971,58,55.629284
-36.462032,1000,56.833491
-3.594159,174,57.040509
-57.246659,299,57.398237
3.975887,47,57.469402
-19.850551,1000,58.757142
2.619302,85,58.861382
3.717066,46,58.922551
0.598572,94,59.034041
4.522833,51,59.112992
3.798656,45,59.166769
3.473227,76,59.260554
2.658209,49,59.320284
-1.40625,123,59.467818
4.912102,13,59.484122
4.977522,3,59.489081
-1.951877,116,59.632122
-59.458893,1000,60.947612
-55.766908,45,61.005197
4.436912,32,61.064003
-79.354358,721,61.9407
4.876268,13,61.974829
2.989651,71,62.058956
2.018288,88,62.164495
4.883349,12,62.180876
0.079439,107,62.311535
3.283737,60,62.383028
4.339049,32,62.421909
-55.792019,245,62.729313
3.871047,51,62.807026
3.947697,115,62.943464
0.518172,95,63.063343
1.124825,83,63.245106
4.630145,25,63.276311
-25.488898,1000,64.506147
-4.784635,280,64.856705
4.081865,44,64.911114
4.790017,15,64.930703
-0.066455,242,65.22945
4.485955,30,65.26854
3.861248,51,65.333217
4.605253,26,65.366518
4.214143,39,65.413926
3.324805,63,65.493631
4.691692,21,65.52106
1.186828,86,65.624557
1.235804,99,65.744497
3.063425,71,65.924283
-56.742732,290,66.271749
3.570528,60,66.359255
1.88675,80,66.456047
1.327627,91,66.566449
-21.066957,1000,67.762815
1.450352,156,67.952374
4.534941,22,67.993152
4.399448,27,68.040555
2.584652,72,68.131668
4.156143,41,68.182892
1.938892,74,68.273401
-95.485285,817,69.35838
4.450105,29,69.412031
-16.585385,1000,70.635923
-16.165079,1000,71.938793
1.626545,87,72.044421
-39.294587,1000,73.27134
-50.780801,11,73.287221
4.939603,8,73.314031
4.695573,21,73.339991
4.963293,5,73.348196
2.82971,75,73.439116
4.750206,16,73.460812
0.338914,109,73.59587
1.225797,89,73.783243
2.864361,66,73.8632
4.696866,24,73.898005
4.261299,43,73.951218
0.970418,99,74.071906
0.370765,99,74.193894
3.550119,58,74.266508
3.72741,44,74.320406
-52.802053,145,74.500175
4.629752,22,74.544635
4.23814,37,74.591499
3.479886,59,74.664427
4.489196,28,74.69971
4.359166,27,74.73449
3.512421,56,74.805543
4.619321,20,74.831075
-49.525166,1000,76.081022
-50.457522,14,76.098563
3.361425,57,76.185918
3.864124,94,76.381458
4.264125,30,76.422769
2.585947,69,76.511069
3.805051,49,76.571797
-1.57878,498,77.184729
4.697178,23,77.212525
4.29806,37,77.260004
4.930449,9,77.271944
4.820176,16,77.293998
4.20857,39,77.345384
4.756238,17,77.367091
4.601549,23,77.39753
4.862012,13,77.416281
-12.813104,1000,78.676388
1.987695,142,78.852213
4.29174,36,78.896696
3.862037,47,79.034198
4.4395,29,79.071179
-58.933385,1000,80.287926
-58.814056,100,80.415715
3.794993,46,80.487227
4.514199,23,80.51723
4.574045,26,80.550629
-45.825568,1000,81.854494
-58.774096,1000,83.075392
-53.979546,53,83.145296
4.575208,27,83.19517
4.932401,7,83.205716
4.524417,28,83.240918
-70.438377,582,83.953322
4.237112,38,84.016192
2.511006,77,84.109823
4.928066,8,84.120535
-19.693885,1000,85.426748
-75.147698,453,85.97805
2.582966,69,86.079146
2.528984,69,86.164674
4.71257,24,86.195379
3.044061,70,86.28138
1.174044,273,86.613731
-57.928472,287,87.046039
4.228214,36,87.110507
1.2381,103,87.237669
4.473873,27,87.271698
4.654319,26,87.328835
3.817179,44,87.385614
3.969575,43,87.439909
-1.695605,118,87.582962
-0.541234,103,87.712124
3.256516,59,87.785828
4.780971,17,87.806461
-55.60974,200,88.050294
4.666734,24,88.096123
3.237361,63,88.172567
0.166659,101,88.295549
4.730928,20,88.321602
-80.373485,771,89.303519
4.817998,16,89.339727
4.155075,39,89.389488
4.524572,33,89.430685
-18.266144,1000,90.724753
3.603184,55,90.792825
2.793533,90,90.905645
-33.888286,1000,92.20574
-1.837113,148,92.387967
3.593805,51,92.452562
0.450626,127,92.609851
4.302958,37,92.658084
4.025928,50,92.720218
4.842991,13,92.738355
4.541927,32,92.809006
4.888972,11,92.823415
4.437979,36,92.869808
1.992501,79,92.973614
4.225953,45,93.030399
4.118991,45,93.085593
2.211616,159,93.287549
-6.669221,526,93.926075
4.074028,77,94.020835
3.377305,57,94.091073
3.614259,52,94.165321
4.694835,23,94.193469
4.588688,33,94.235943
4.523586,30,94.274364
3.547758,89,94.383167
-0.645481,105,94.516577
4.59035,25,94.548773
-78.342174,475,95.209262
4.050304,45,95.281607
4.924327,9,95.29357
4.745766,17,95.315896
4.866047,10,95.329011
0.318164,337,95.735593
