#{"t_start": 1740625521.0664496, "env_id": "None"}
r,l,t
-50.067371,2,1.07751
8.653728,62,3.127651
1.952555,306,9.526522
8.497018,63,9.676323
-51.411142,38,9.763867
8.262384,77,9.960699
8.451515,85,10.159928
7.04879,114,10.44667
9.189528,56,10.590773
9.954309,5,10.60406
-50.500394,36,10.693094
6.343765,191,11.160529
9.049263,37,11.261776
5.188453,231,11.815709
9.06701,29,11.8842
9.856973,11,11.913159
9.337699,30,11.986833
7.138733,124,12.278323
9.598247,15,12.31483
9.434455,31,12.392604
5.950947,207,12.895443
6.197472,210,13.403527
5.32212,238,14.231396
2.617946,290,14.91787
2.236494,376,15.817532
9.508745,36,15.903327
4.57025,343,16.723282
9.866753,9,16.745831
-51.322732,23,16.802929
7.214376,110,17.076583
8.917614,60,17.220778
-50.736253,13,17.251531
-50.928409,18,17.30769
7.40655,151,17.689263
8.718451,72,17.855905
9.246751,37,17.947103
9.291385,41,18.048523
6.942957,121,18.323439
4.127466,173,18.765926
7.923115,94,19.085573
8.794554,75,19.264212
9.610965,28,19.332448
6.638487,115,19.60773
7.57019,121,19.910429
8.079939,71,20.075997
-51.036427,28,20.141857
8.151223,55,20.248946
7.035833,110,20.474191
9.95106,5,20.483912
-50.096122,4,20.491595
-19.225098,1000,22.417689
9.108093,57,22.527085
9.902358,7,22.542123
8.581818,81,22.702803
7.958184,82,22.859649
9.134874,49,22.957403
9.396863,35,23.023388
7.193516,175,23.455596
1.982802,330,24.091648
7.335093,170,24.418017
5.845158,210,24.849369
4.541785,310,25.43762
9.032838,42,25.504566
8.779096,67,25.633673
8.705325,55,25.741279
9.382516,41,25.821976
9.012625,55,25.925504
9.752998,16,25.958919
7.368339,108,26.188125
2.895171,356,26.916393
9.038357,38,26.991705
9.875022,9,27.011693
8.39961,60,27.128339
5.155889,167,27.568621
9.343396,46,27.647915
6.742026,181,28.05194
8.216618,106,28.272089
9.093775,40,28.34945
9.589646,23,28.395512
7.816044,73,28.5365
7.878533,102,28.732599
-50.292442,10,28.751617
7.985928,104,28.964911
8.972797,54,29.07106
2.724175,450,29.939471
7.971169,72,30.080363
5.850862,157,30.375787
8.878229,73,30.516893
9.00905,46,30.607721
8.640429,73,30.746821
8.325323,58,30.856526
9.140635,45,30.943176
-50.152833,4,30.951802
6.902848,127,31.203919
8.484946,101,31.494605
5.681827,244,31.970556
8.195819,87,32.13746
9.74473,25,32.188401
6.104076,226,32.631019
7.221889,117,32.857352
7.704429,126,33.096253
8.378828,67,33.222143
6.961085,141,33.488946
9.403673,53,33.590763
7.937295,84,33.75539
-1.706129,701,35.076923
9.438797,26,35.127693
4.562886,237,35.672953
-50.165062,2,35.676152
7.661714,136,35.960012
8.264508,106,36.166139
6.616032,140,36.430961
9.235365,54,36.533342
5.976982,117,36.755018
-50.392891,7,36.769423
