#{"t_start": 1739191531.4126036, "env_id": "None"}
r,l,t
-71.556631,280,5.413825
-791.431784,1000,24.171441
-651.82095,1000,40.649665
-707.526902,1000,57.609974
-695.707249,1000,74.027095
-21.561421,238,78.067538
-764.104404,1000,95.379717
-704.328505,1000,112.918475
-919.529298,1000,129.285722
-733.487093,1000,145.109595
-410.881982,758,157.171051
-748.224242,1000,173.609722
-668.691567,1000,190.099102
-891.050872,1000,206.734792
-755.590874,1000,223.135146
-176.382889,326,228.546518
-703.524515,1000,244.736702
-695.134163,1000,260.878494
-654.929644,1000,276.750679
-610.424175,1000,293.131505
6.306601,179,296.071128
-615.474769,1000,312.377192
-287.978596,453,319.536352
-638.000227,1000,335.527233
-833.031789,1000,351.799176
-556.191698,1000,367.760322
-412.460731,639,378.194514
-611.676311,1000,394.17778
-687.276522,1000,410.442354
-689.008836,1000,426.504186
-707.674053,1000,442.948476
-691.063885,1000,459.322682
-691.591931,1000,475.662694
-176.304822,316,481.179492
-354.409254,758,493.325115
-678.669448,1000,509.079502
-660.078786,1000,525.334064
-666.448923,1000,541.724079
-674.441562,1000,557.695691
-568.157906,964,573.334569
-725.93353,1000,589.513534
-437.908433,798,602.300438
-654.383722,1000,618.191483
-639.079454,1000,634.587719
-623.236933,1000,650.873884
-333.66629,513,659.387769
-793.814448,1000,675.404124
-818.303651,1000,691.466385
-422.918914,806,704.268184
139.305463,107,706.107424
-589.570053,1000,722.082378
-206.604099,414,728.881823
159.833315,99,730.523495
-647.685569,1000,746.370641
-612.062581,1000,761.877178
-860.759365,1000,777.745912
-707.608679,1000,793.428965
-574.017502,1000,808.906252
-161.483721,329,814.219736
-681.957807,1000,830.545706
-667.458769,1000,847.010341
-172.116823,419,853.606342
-661.776322,1000,869.81437
-408.737175,680,880.704531
165.605418,89,882.214347
-444.772776,822,895.180666
-744.49928,1000,911.038594
-788.066945,1000,926.935855
-637.186682,1000,943.096469
-516.039453,818,956.293157
-796.839639,1000,972.344728
-689.674621,1000,988.175418
-681.775039,1000,1004.585833
-624.390244,1000,1020.458684
-599.867015,1000,1036.594315
-78.735406,225,1040.286428
-810.288262,1000,1056.191736
-830.920794,1000,1072.219502
-708.871625,1000,1088.490192
-71.890081,276,1092.840682
-346.844145,672,1103.688444
-837.619296,1000,1119.5561
-594.108247,1000,1135.415749
-619.82492,1000,1151.269243
-31.314342,181,1154.283005
-595.767353,1000,1169.965184
-808.78326,1000,1185.697689
-92.171455,287,1190.440892
-702.645635,1000,1206.265678
-781.025838,1000,1222.402575
-832.977714,1000,1238.300748
-833.697565,1000,1254.071711
-664.37554,1000,1270.168164
-467.339257,829,1283.542664
-735.278837,1000,1299.57239
-710.038686,1000,1315.632478
-625.09499,909,1330.260972
46.206441,176,1333.187614
-569.095346,929,1348.151739
-579.03359,1000,1364.293482
-748.455664,1000,1380.201233
-613.647239,1000,1396.303789
-665.070085,1000,1411.986005
-627.22201,1000,1427.640966
-795.135033,1000,1443.705573
-632.164655,957,1459.074627
-309.402655,582,1468.320722
-623.011914,1000,1484.179806
-715.655158,1000,1500.414443
-332.9484,482,1508.204887
-614.411724,1000,1524.280731
-798.210028,1000,1539.969553
-518.699811,1000,1556.065459
-558.005996,1000,1572.390882
-608.768521,1000,1588.733894
-437.112967,713,1600.386649
-690.631161,1000,1616.778202
-754.572409,1000,1632.878122
-2.747083,182,1635.795556
-587.943127,1000,1651.856586
-627.461014,1000,1667.864531
-738.151165,1000,1683.75158
-712.771482,1000,1699.522543
-586.315184,1000,1715.825895
-589.24791,1000,1732.100525
-756.961313,1000,1747.81793
-607.452902,1000,1763.723812
10.725381,157,1766.263033
-431.404523,772,1778.62831
-571.684728,1000,1794.596748
-479.611269,687,1805.471957
-42.058257,251,1809.610667
-447.863846,715,1821.025211
-354.634859,671,1831.837492
-817.939608,1000,1847.896214
-672.460224,1000,1863.952291
-657.943476,1000,1880.082254
-275.393919,603,1889.815715
18.464391,196,1893.015807
-94.519359,271,1897.327948
-594.267907,1000,1912.868291
-671.48251,1000,1928.527485
-426.359482,1000,1944.93581
-549.313736,1000,1961.172674
-717.399305,1000,1977.031679
-746.08913,1000,1993.216772
-702.24401,1000,2009.180231
-583.945502,871,2023.164307
-578.932988,1000,2039.021264
-492.819807,1000,2055.011207
-653.344932,1000,2070.708195
861.567319,23,2071.165651
1813.002763,11,2071.418955
-608.302945,1000,2087.432168
-574.120744,1000,2103.456078
-759.590963,1000,2119.992257
-594.295628,1000,2136.327577
