#{"t_start": 1737626767.2402804, "env_id": "None"}
r,l,t
-311.549431,10,4.074418
-300.880113,5,5.829379
-313.696324,18,11.920511
-303.532505,5,13.54956
-318.864425,15,18.574765
-300.447466,8,21.230037
-301.233511,2,21.905451
-302.726261,3,22.729593
-312.832311,18,28.644039
-301.1014,8,31.349661
-303.261451,10,34.779586
-306.77359,11,38.462681
-330.118577,92,70.977565
-302.060032,6,72.846037
-305.748547,10,76.114786
-302.256202,12,80.150038
-316.6321,41,94.301989
-302.300368,7,96.634093
-301.77081,4,97.787664
-300.992607,5,99.577925
-305.467138,22,107.313416
-303.601301,41,121.822348
-343.365385,61,143.013201
-308.560774,8,145.498277
-305.669857,20,152.193407
193.585155,37,165.574386
-303.795191,6,167.379547
-301.439485,11,171.037961
-304.221979,9,174.133207
-318.62111,42,189.050159
-317.65934,18,195.075608
-333.523888,55,213.705994
-310.787203,13,217.826735
-351.055212,97,252.497898
-303.218349,16,257.665638
-341.904817,81,285.966095
-303.118489,4,287.149406
-343.284058,42,302.073841
-312.791924,12,306.11017
-459.02369,246,392.924711
-305.193734,26,401.738622
-302.005166,9,404.611064
-301.578685,7,406.842357
-340.820431,95,440.021579
-331.139163,43,454.886442
-335.052862,62,477.065484
-312.039701,28,486.806016
-305.683536,14,491.609901
-323.074235,25,500.251081
-349.053927,89,531.110084
-325.270564,54,549.462113
-361.670285,120,591.485654
-301.819335,4,592.814365
-301.542215,4,594.053439
-364.174508,87,624.397435
-316.133618,42,639.21428
-303.836321,19,645.758345
-302.667192,9,648.791453
-303.355758,7,650.977809
-301.845401,3,651.791746
-315.482015,22,659.259077
-315.08711,67,682.919986
-303.727835,6,684.786278
-318.162302,25,693.244796
-346.475142,131,739.413332
-329.165656,65,761.991013
-321.016513,80,789.733329
-349.782668,41,803.271526
-347.663953,123,845.926427
-310.312729,20,852.474964
-308.354887,28,862.245053
-306.671425,6,864.113222
-333.885936,103,900.090087
-320.220134,37,912.86947
-367.423007,130,958.645476
-320.779714,67,981.446072
-416.045311,172,1041.923288
-328.330684,35,1054.239485
-334.760265,114,1093.709507
-302.463281,5,1095.241556
-370.519885,153,1148.958171
-338.996618,87,1179.877465
-308.259784,63,1201.236138
