#{"t_start": 1737602022.2544594, "env_id": "None"}
r,l,t
-300.566454,8,3.308725
-310.972564,16,8.597276
-300.976825,4,9.75935
-303.730801,9,13.02402
-302.959702,5,14.471999
-303.293095,4,15.606807
-306.781733,6,17.547665
-319.177272,112,57.819868
-301.270798,5,59.537252
-306.926,28,68.968735
-318.488996,47,84.955479
-302.960453,3,85.861853
-304.997899,20,92.527058
-301.504571,2,93.192004
-302.991109,3,94.012965
-314.880235,14,98.641549
-312.206978,16,103.928671
-307.200856,19,110.383418
-306.170322,14,114.986367
-302.438445,2,115.701754
-313.109057,20,122.491627
-364.437206,91,132.823356
-314.762684,15,134.330764
-330.180735,67,141.861872
-304.298576,8,142.583637
-366.796866,162,159.438148
-346.543217,54,164.983377
-314.2763,15,166.545213
-310.018269,15,168.039289
-305.792486,6,168.626768
-301.206131,5,169.055722
-336.058743,72,176.420116
-301.737634,5,176.838874
-334.311517,47,181.679802
-302.567923,13,183.10861
-313.506488,15,184.570773
-304.308645,4,184.94399
-312.540007,43,189.426276
-307.152096,20,191.535149
-309.139095,8,192.25563
-330.477242,44,196.977589
-315.886366,30,200.219426
-316.107419,16,201.83341
-317.326321,28,204.776373
-334.841476,44,209.213722
-312.72932,17,210.967713
-411.21572,266,239.359237
-301.664058,5,239.829378
-314.420646,51,245.230222
-309.863686,26,248.105291
-319.618677,65,254.791737
689.74139,37,258.694587
-308.243921,41,262.940539
-301.242042,12,264.220286
-371.582988,68,271.529706
-405.116438,137,285.762932
-322.899139,31,288.9649
-315.939544,27,291.790035
-320.317861,45,296.483802
-307.358897,24,298.91193
-331.577648,58,305.252766
-306.707841,10,306.240974
-319.512643,26,308.93023
-353.207767,103,319.967492
-303.740801,15,321.571149
-333.640313,65,328.475266
-304.440185,14,329.887055
-332.103461,59,336.021587
-384.607364,259,364.386196
-327.139956,26,367.118677
-324.592854,23,369.392076
-419.022976,238,394.619118
-319.682569,113,406.669215
-375.778155,138,421.392155
-362.552838,113,433.341263
-320.941739,64,440.096938
-343.034282,124,453.127404
-337.705656,74,460.885203
-401.433318,197,482.132081
687.629958,44,486.70533
-332.081022,94,496.624334
-330.856614,142,511.406088
