#{"t_start": 1739428443.0292413, "env_id": "None"}
r,l,t
-209.664086,13,3.988355
-204.673372,9,4.167385
-203.739776,9,4.353524
-207.566095,8,4.517846
-205.033631,11,4.735048
-205.209338,11,4.976514
-202.795142,9,5.15973
-205.68453,10,5.372881
-204.213294,9,5.550442
25.086219,7,5.704848
-206.746348,10,5.908089
-208.404206,8,6.07128
27.414942,7,6.225018
-209.756168,17,6.575361
-205.821384,9,6.752991
-173.514479,8,6.959157
-207.362889,8,7.12153
-208.10915,12,7.361079
-203.407146,8,7.529161
-208.882275,9,7.713698
-203.789871,8,7.874413
-203.307019,9,8.057563
-206.881572,12,8.302414
26.628789,9,8.487939
-204.133018,10,8.687284
-204.315071,8,8.849339
-205.362276,8,9.014823
-206.647041,13,9.282768
-203.958294,10,9.488191
-205.193627,12,9.742827
-203.109996,8,9.904653
-204.599675,14,10.176063
-203.745235,11,10.392586
-203.157774,9,10.57641
25.930866,9,10.777574
-204.355582,10,10.979118
-204.420075,8,11.143791
-208.527801,10,11.347262
-203.451979,8,11.514294
-205.124244,12,11.755941
-205.177676,10,11.954707
-207.447885,8,12.113639
-209.488297,8,12.274899
-207.059548,13,12.54217
-204.950295,11,12.762379
-210.071194,10,12.961837
-204.019364,8,13.125041
-207.585509,8,13.283422
-209.357001,11,13.496056
-204.872434,11,13.718157
-205.346354,8,13.886498
-203.154239,8,14.084229
-206.937745,8,14.246719
-204.061257,9,14.431123
-208.185111,13,14.697205
-210.0081,10,14.891807
-173.8869,10,15.144585
-203.287902,12,15.38741
26.510356,7,15.543697
-203.773151,8,15.70774
-204.083327,8,15.882386
-205.622356,8,16.043043
-205.217495,8,16.183879
-204.839208,6,16.296108
-206.220255,12,16.503638
-207.874378,8,16.648985
-210.026928,11,16.846447
-208.429141,9,17.009251
-205.367082,8,17.155592
-205.082758,14,17.396436
-204.735678,9,17.553681
-205.162922,9,17.707543
28.561874,5,17.812167
-203.409573,8,17.955114
-204.24255,11,18.145127
-203.074413,8,18.294279
-206.722921,10,18.475378
-204.433844,8,18.61573
25.804308,8,18.771381
-207.202385,8,18.916136
-204.471636,9,19.075681
-208.421116,8,19.218358
-206.804032,10,19.393668
-203.521126,9,19.551003
-206.203874,8,19.691954
-203.468726,9,19.855113
-208.584098,9,20.019035
-203.886689,8,20.159501
-203.92322,9,20.31749
-205.406148,9,20.475811
-204.397512,9,20.631061
25.833709,8,20.78793
-205.337744,8,20.931991
-205.616965,8,21.070559
-207.138402,12,21.269233
-204.247705,9,21.424582
26.191053,6,21.545562
-205.851088,13,21.763181
-207.436388,9,21.919779
-204.145286,8,22.065104
-206.325811,14,22.302739
25.308168,7,22.435091
-175.107597,9,22.588805
27.181426,7,22.722067
-204.646012,5,22.822011
-205.75242,10,22.995048
-207.844098,8,23.135582
-204.904358,10,23.309822
-205.828462,11,23.502791
-205.585203,8,23.644925
-206.800725,13,23.87247
-203.631145,12,24.071798
-174.470009,8,24.216795
-207.64005,8,24.356183
-204.370402,8,24.495177
26.735451,7,24.628225
20.251354,20,24.983661
-206.859507,11,25.171361
-205.733123,9,25.331982
-204.986962,8,25.472304
-204.754571,9,25.632308
-208.41886,8,25.773332
-204.507991,8,25.916754
-205.373855,12,26.122613
27.744404,3,26.19108
-204.453513,10,26.368087
-204.856507,8,26.507764
-205.302659,8,26.651127
-204.641251,8,26.836219
-205.602438,8,26.977912
-207.87468,10,27.151893
-206.917832,10,27.31729
-207.420288,10,27.494492
-207.163253,16,27.76404
-202.859946,9,27.963749
-207.195177,19,28.282071
27.998921,5,28.38207
-203.802113,9,28.536769
-207.368782,11,28.727672
-203.63641,8,28.872567
-204.024912,8,29.021225
-207.717091,8,29.162969
-208.61428,8,29.304732
-204.921829,8,29.450938
-204.219481,11,29.639562
-207.385424,10,29.811748
-205.871783,16,30.08307
-208.457505,8,30.267793
-208.247804,8,30.408389
-207.206282,10,30.584048
-204.804484,9,30.738044
-209.680501,9,30.891585
-206.401856,11,31.080296
-204.752306,10,31.260336
-204.080952,10,31.441074
-207.038859,8,31.584169
-204.189176,8,31.724255
-207.013135,8,31.871315
-211.184764,12,32.075645
27.256694,8,32.224666
-204.163365,10,32.401114
-209.188469,14,32.637732
27.538927,7,32.775679
-204.388206,9,32.939556
-204.784433,8,33.084662
-208.162052,13,33.307286
-205.578856,8,33.45222
-205.723428,10,33.622037
-204.396321,8,33.768056
-205.929013,11,33.953309
-207.620865,10,34.122857
-207.069665,9,34.287042
28.608657,3,34.355409
27.062248,10,34.534349
-204.097796,9,34.69965
-205.722666,8,34.841502
-208.284898,15,35.101366
-206.410978,11,35.304831
-208.566904,8,35.455816
-205.20136,10,35.63664
-206.939848,8,35.776702
-205.31919,10,35.949806
-204.067619,5,36.045648
-207.358307,14,36.278491
-204.4331,10,36.505273
28.11592,5,36.605573
-207.525095,8,36.749054
-204.035804,8,36.897433
-205.572858,9,37.050678
-207.234303,11,37.247278
-205.444044,9,37.407499
-206.133116,10,37.578052
-205.398311,11,37.763604
-203.708231,9,37.915277
27.19639,8,38.065606
27.127271,5,38.166195
-211.957962,22,38.550101
-203.911633,10,38.727799
-204.233051,9,38.879456
25.313362,10,39.063596
-206.124082,10,39.241332
-207.902637,9,39.395569
27.271647,4,39.478015
-204.170616,10,39.657192
27.464705,5,39.761374
-207.066247,8,39.900321
-205.480982,9,40.04957
-207.510018,16,40.332635
-205.200605,9,40.493116
-208.663645,10,40.659766
-204.658784,13,40.882398
27.925132,5,40.984623
-205.44218,9,41.141995
-204.670589,8,41.282433
25.010995,6,41.39707
-204.679332,9,41.556055
-204.056171,10,41.728354
-206.437667,13,42.191305
22.966395,18,42.516917
26.094421,7,42.65362
-209.747289,12,42.859968
-205.016714,10,43.030741
-203.550995,9,43.193378
-204.385238,8,43.337081
-205.548306,10,43.512067
28.396009,3,43.577091
-205.809652,12,43.838587
-204.335919,8,43.980967
-204.287589,8,44.123081
-210.354341,8,44.267265
-204.473372,8,44.411671
-203.929264,10,44.580184
-203.479169,8,44.767354
-211.23244,12,44.974498
-203.44284,9,45.129562
-206.697403,12,45.332425
-206.749452,9,45.484488
-203.647222,9,45.640585
27.576633,4,45.72834
-205.626895,13,45.949406
-209.310244,8,46.090424
-203.897401,8,46.235068
