#{"t_start": 1739789484.652424, "env_id": "None"}
r,l,t
-526.799716,34,3.457223
-608.211352,167,6.869943
-554.116355,57,7.94955
-504.887328,5,8.049609
-667.942655,256,12.354195
496.518795,7,12.490068
-519.078494,42,13.17825
-730.883458,318,18.508604
-542.748113,64,19.598757
-537.780922,38,20.218352
-510.411254,15,20.459267
-548.960032,62,21.510064
-526.178628,40,22.201824
-504.696155,5,22.283643
-508.960331,12,22.472023
-515.475155,18,22.781234
-537.048586,42,23.465941
-523.037114,35,24.063866
-512.443351,18,24.367642
-507.284554,8,24.504995
-505.705759,7,24.622631
-508.473635,10,24.791817
-610.438727,153,27.405173
-521.416465,32,27.900294
-594.224673,141,30.227877
-527.216131,34,30.763219
-533.029718,36,31.340176
-535.928155,52,32.201208
-553.663831,99,33.862293
-535.129738,34,34.437663
-703.328782,273,39.323763
-811.443878,414,46.319054
-543.271697,87,47.772181
-518.705583,33,48.323867
-593.719319,163,51.194325
-743.558966,306,56.237619
-622.312741,209,59.711954
-508.41003,10,59.885238
-568.384264,88,61.347039
-618.230826,200,64.664888
-585.091058,95,66.239934
-552.066538,91,67.739887
485.904458,32,68.285239
-527.888322,53,69.163925
-559.613535,79,70.537245
-515.116968,24,70.945888
-514.269844,26,71.389534
-514.846971,22,71.754385
-559.283486,84,73.231485
494.533861,9,73.396303
-525.762451,31,73.909502
496.713622,10,74.088245
-509.713493,13,74.288744
-621.203114,156,76.852617
-755.555465,293,81.682299
-602.874705,188,84.789865
-691.851151,371,91.098554
-603.548512,145,93.466464
-613.67443,157,96.016938
-612.868372,162,98.709458
-584.921586,112,100.575543
-580.921962,123,102.588812
-992.684424,614,112.805097
-506.32029,8,112.940394
-637.278152,193,116.153647
-514.638883,26,116.603863
-523.394465,43,117.309716
-636.096402,230,121.167394
-519.961993,27,121.62627
-518.564154,22,121.976582
450.866159,78,123.300436
-791.652169,340,128.935481
-417.007604,700,140.773454
-587.87862,95,142.439152
-602.472749,145,144.849387
-674.182392,239,148.86833
-932.300388,642,159.676799
-553.781476,87,161.096963
-661.686286,222,164.867351
-540.693302,54,165.765933
-643.484173,266,170.263419
-520.579939,700,183.746113
-692.942577,247,188.830193
-735.838196,303,194.84478
-513.248368,700,208.747439
