#{"t_start": 1740104190.206471, "env_id": "None"}
r,l,t
-63.260802,250,6.938385
197.683949,11,7.217348
-93.223319,250,13.293164
199.699501,2,13.356542
-66.392473,250,19.469015
-69.968758,250,25.619411
-67.103548,250,31.723928
183.036651,69,33.373851
-68.817972,250,39.44328
-85.594653,250,45.415146
194.038749,28,46.107284
161.791221,154,49.896715
183.142974,84,52.187906
-75.666378,250,58.348509
135.050655,237,63.815104
190.575544,34,64.55184
195.569026,19,64.965921
-49.902478,250,70.43046
171.336175,109,72.844114
-88.402175,250,78.058382
150.359832,155,81.304303
138.309503,230,86.12822
181.359725,82,87.879751
-61.983247,250,93.182734
-82.808867,250,98.654125
184.79159,87,100.516263
186.0071,78,102.209859
155.511398,133,105.050559
-65.291591,250,110.686372
-70.21494,250,116.175
198.857296,5,116.305672
166.994803,168,119.968348
140.17543,204,124.465852
193.78308,26,125.056037
175.118572,129,127.867703
-60.25361,250,133.567627
155.084671,168,137.231263
-56.042141,250,143.150594
178.671844,71,144.661769
199.075857,6,144.798871
157.546508,145,147.83993
191.448928,48,148.851137
193.449148,26,149.401779
182.43451,65,150.80117
-74.78614,250,156.139863
161.76322,177,160.007735
196.813179,14,160.320842
185.167822,54,161.479871
-65.094247,250,166.846272
-76.830266,250,172.188673
-58.536688,250,177.47904
165.484893,130,180.204866
170.603551,117,182.764405
-71.340536,250,188.169219
-67.565042,250,193.27728
160.057568,199,197.419525
-85.155513,250,202.707382
171.143031,117,205.170697
186.806333,58,206.416059
176.423513,67,207.859374
-74.305565,250,213.072626
181.633253,85,214.881041
125.727643,245,220.088078
146.70161,191,224.093678
155.173461,193,228.134023
-76.06106,250,233.325783
191.201735,35,234.054744
-71.169677,250,239.21416
-79.846137,250,244.315592
-85.166332,250,249.495812
195.899037,15,249.83123
-60.574559,250,254.934177
183.431033,86,256.765264
193.974438,30,257.421185
182.943433,63,258.765934
180.293952,93,260.694443
171.407661,97,262.746684
-63.65121,250,267.988578
196.039098,22,268.47171
167.65377,165,271.973356
-70.600138,250,277.16547
-66.644099,250,282.356359
191.202884,41,283.238829
198.592171,6,283.383456
-77.374148,250,288.630425
-76.21888,250,294.041583
190.318774,43,295.006927
-60.414538,250,300.428555
-98.926395,250,305.871392
194.771176,22,306.356611
154.875046,156,309.738356
186.257292,40,310.661582
-65.019122,250,315.98511
-76.223371,250,321.147087
118.316249,228,325.8457
-77.429622,250,331.035266
-65.892411,250,336.195132
186.787245,62,337.522768
169.761391,112,339.906447
151.974882,196,344.040591
-67.027444,250,349.291362
-75.446407,250,354.598806
182.024215,91,356.504201
-81.412804,250,361.819599
191.530661,48,362.850424
-79.322461,250,368.126323
-62.570503,250,373.360796
-61.764916,250,378.592404
174.890558,114,380.983838
-64.365305,250,386.169734
197.19378,11,386.409339
182.683183,77,388.038803
179.600692,98,390.127702
-66.783433,250,395.36569
-91.308041,250,400.576664
153.658654,122,403.258718
196.087211,14,403.564736
165.348534,150,406.697243
197.261064,10,406.915698
-95.259778,250,412.111847
-62.077913,250,417.390316
176.811221,100,419.49037
198.291204,10,419.716784
-49.290597,250,424.924692
168.924771,154,428.14533
195.788281,23,428.649488
-70.564736,250,433.857235
171.81752,104,436.052206
-81.578462,250,441.204205
-58.428278,250,446.487012
187.115869,50,447.558281
174.770682,88,449.407964
156.850466,187,453.310281
-82.077828,250,458.575013
199.638829,2,458.636273
-62.405986,250,463.924501
-69.789581,250,469.239024
194.966431,27,469.827522
171.42314,127,472.521143
170.466847,127,475.179028
186.682709,69,476.60955
185.587142,47,477.606696
140.134537,193,481.680053
185.724384,71,483.173342
178.850891,89,485.062884
-55.047247,250,490.463052
185.644103,73,492.030743
-75.692557,250,497.283744
-90.270258,250,502.562221
-72.629566,250,507.78517
172.133908,110,510.086861
-99.547227,250,515.283698
196.738706,15,515.612396
-52.23625,250,520.841122
-86.145815,250,526.038392
172.809898,105,528.238243
-95.109071,250,533.534945
145.846072,174,537.227268
-65.742074,250,542.477554
195.556322,17,542.846562
-54.814424,250,548.112555
178.378599,97,550.167054
177.578383,110,552.469054
-91.733845,250,557.666021
164.603761,144,560.721537
-81.652828,250,565.935732
177.386429,103,568.110847
179.40548,72,569.629362
-75.773198,250,574.926321
-79.796385,250,580.139127
160.305074,147,583.241378
-67.08374,250,588.528589
-86.443603,250,593.725281
-77.713126,250,598.983114
188.397077,35,599.74554
149.204756,211,604.135551
-55.938276,250,609.377779
180.782187,99,611.466496
-65.107201,250,616.81888
-57.206264,250,622.094968
-66.975175,250,627.317795
181.426037,68,628.762871
183.837183,81,630.458831
-75.185063,250,635.744378
-87.471885,250,640.96827
168.834253,120,643.520047
168.92798,93,645.48924
148.35915,187,649.412825
163.751024,133,652.266865
194.554648,21,652.720604
189.408743,52,653.82161
157.044575,120,656.389099
-78.733993,250,661.721814
-80.398856,250,666.953377
-72.753795,250,672.206742
181.291771,68,673.657797
-85.783383,250,678.959174
-63.09438,250,684.195661
153.242073,163,687.667906
-76.116176,250,692.897792
174.278387,95,694.911255
-55.205812,250,700.233799
187.168755,50,701.303588
-63.042524,250,706.621766
-79.320467,250,711.878503
-72.61217,250,717.077646
183.601274,52,718.186319
180.189972,106,720.411308
172.525343,125,723.062879
-64.428469,250,728.352845
-77.598989,250,733.568344
-81.624945,250,738.795651
199.136686,3,738.87489
187.872679,57,740.099812
-72.514506,250,745.418991
182.921499,65,746.879189
189.567201,42,747.779809
-85.340424,250,753.063867
140.375117,232,757.963877
188.888668,52,759.069158
157.378897,138,761.98171
-81.061079,250,767.135223
-59.507082,250,772.386899
138.44695,197,776.489175
192.74039,26,777.043739
169.675349,150,780.202802
182.534252,53,781.311423
-76.981178,250,786.530658
-59.665023,250,791.879304
191.097117,42,792.777085
198.006359,6,792.921773
-78.499628,250,798.151652
-89.818674,250,803.40992
-73.708766,250,808.688759
166.302985,155,811.927741
-52.37134,250,817.144805
165.592001,127,819.809258
194.018917,38,820.624353
198.801642,6,820.766784
-50.074881,250,825.988787
-82.501517,250,831.231405
-88.451332,250,836.534183
160.373234,146,839.633055
142.263721,195,843.763892
162.043578,167,847.318336
-56.300579,250,852.612425
-62.236146,250,857.866928
-70.178448,250,863.170079
-60.217621,250,868.438384
195.588925,24,868.95623
196.20519,18,869.350319
-53.604974,250,874.686688
199.561076,2,874.744761
157.232248,193,878.920266
186.554799,54,880.072127
185.480735,59,881.32318
-77.45267,250,886.550837
-73.534276,250,891.85913
-75.839845,250,897.084498
-69.901302,250,902.337295
-73.916826,250,907.541767
-66.635072,250,912.766384
-57.440772,250,918.100818
-87.928061,250,923.496358
-80.132548,250,928.737662
-51.183813,250,934.078607
-67.715046,250,939.32939
-49.818286,250,944.559174
182.19391,75,946.140573
148.755171,239,951.134287
-55.66075,250,956.474824
182.212843,62,957.814318
164.018451,176,961.550458
157.136024,168,965.181752
-59.100588,250,970.433422
176.137516,85,972.25187
-65.47544,250,977.539372
-92.284078,250,982.774618
175.121513,145,985.830616
-84.400166,250,991.028469
-54.930509,250,996.276915
139.825867,189,1000.302716
170.845234,97,1002.378298
176.054348,81,1004.12539
-54.120609,250,1009.479751
-85.386802,250,1014.768767
177.796862,89,1016.678722
-62.056168,250,1021.907292
197.586425,13,1022.19987
-78.522978,250,1027.516307
182.623428,85,1029.335252
162.076377,159,1032.677226
175.425165,107,1034.956523
163.98384,167,1038.514374
-60.644887,250,1043.745061
-92.596225,250,1049.015392
-55.066357,250,1054.343044
-88.7015,250,1059.550762
156.991212,191,1063.5915
176.298359,97,1065.622359
-69.064535,250,1070.911566
195.816911,16,1071.264844
155.265787,156,1074.590207
189.464577,42,1075.500886
-68.057494,250,1080.712874
-81.829097,250,1085.949394
170.239785,117,1088.436857
-77.900024,250,1093.745893
142.196431,240,1098.875148
142.042375,226,1103.634063
178.527198,85,1105.416267
-72.526507,250,1110.66574
194.882433,25,1111.197263
158.101221,194,1115.363888
173.515312,120,1117.920277
-92.39922,250,1123.118683
-70.25547,250,1128.307692
-56.196773,250,1133.503786
195.305295,21,1133.960407
168.148828,126,1136.726751
195.772254,18,1137.120753
-92.709196,250,1142.321358
196.457393,11,1142.566169
-52.696241,250,1147.812805
184.498441,62,1149.135151
196.558235,16,1149.494848
195.055841,17,1149.871539
198.082636,9,1150.081125
189.557032,65,1151.46681
-66.477257,250,1156.738348
-76.927344,250,1161.96987
169.452813,102,1164.104288
-60.788428,250,1169.439553
-91.571865,250,1174.727434
162.635319,121,1177.322745
-79.989501,250,1182.651425
171.75335,84,1184.453512
-59.453777,250,1189.797344
-68.142781,250,1195.058745
-60.512992,250,1200.42136
-63.063084,250,1205.746308
166.658779,150,1208.952627
170.254338,130,1211.773293
149.210138,247,1217.011255
199.36708,3,1217.089799
173.138536,101,1219.236774
-79.430869,250,1224.762764
-92.236959,250,1230.044131
197.379082,14,1230.352636
174.12561,92,1232.341566
-78.348587,250,1237.641887
-64.708537,250,1242.875357
-53.675283,250,1248.118856
166.832712,109,1250.41163
159.213823,171,1254.089207
157.647576,202,1258.38521
-89.577815,250,1263.561607
150.482345,205,1267.919769
-64.399968,250,1273.225374
-73.353618,250,1278.562152
-75.170117,250,1283.77844
192.436347,28,1284.384517
-80.148708,250,1289.680665
-70.039052,250,1294.946836
-76.426751,250,1300.175784
-88.487072,250,1305.421053
181.71565,73,1307.002787
-87.609619,250,1312.234589
175.681474,93,1314.191159
-57.455229,250,1319.525814
199.643921,2,1319.617283
-48.649341,250,1325.006727
198.883278,4,1325.116097
160.008253,155,1328.409342
177.664978,70,1329.924544
187.537799,65,1331.337317
191.012488,38,1332.170083
179.993878,92,1334.138654
-49.262979,250,1339.507939
175.094495,131,1342.303978
142.114506,180,1346.193892
192.939189,26,1346.76874
-75.530408,250,1352.085488
-62.004387,250,1357.627464
-81.01211,250,1362.874101
176.325202,102,1365.025289
183.882005,60,1366.457037
137.541817,222,1371.325232
-73.805028,250,1376.682688
191.467741,37,1377.497368
139.80544,196,1381.719495
-66.28502,250,1386.938236
-65.827044,250,1392.122172
148.334399,192,1396.167414
-99.898604,250,1401.443208
157.783322,239,1406.440259
183.277875,63,1407.762345
152.032107,213,1412.239568
192.053092,30,1412.897458
160.626426,200,1417.190414
-49.061525,250,1422.433177
185.440701,66,1423.832649
-71.156357,250,1429.139341
193.419877,33,1429.845505
190.435603,40,1430.697444
190.993093,41,1431.563305
-57.521469,250,1436.827523
-65.649185,250,1442.204264
189.638693,40,1443.071939
193.529311,22,1443.550602
-56.61631,250,1448.843699
195.557544,23,1449.334608
179.197899,87,1451.208742
145.262281,171,1454.82198
-60.238363,250,1460.179866
197.930298,11,1460.435745
174.708173,132,1463.249802
-82.384993,250,1468.597752
164.489409,110,1470.920328
-85.270071,250,1476.241112
-63.49182,250,1481.523197
-71.131011,250,1486.967632
-66.199958,250,1492.445691
-57.522848,250,1497.813344
-60.117501,250,1503.066187
-86.839302,250,1508.322201
193.492091,27,1508.909643
193.22833,26,1509.473689
-61.287325,250,1514.749929
-63.748284,250,1519.960648
148.448504,246,1525.101844
189.005701,41,1525.972726
196.156176,12,1526.243075
-49.480682,250,1531.618882
183.725909,85,1533.462949
176.446178,105,1535.685685
186.361507,64,1537.053057
192.934798,30,1537.707095
-54.115827,250,1543.078305
185.629614,60,1544.365013
190.244222,32,1545.051102
-79.633275,250,1550.51365
142.002929,241,1555.770108
-85.737433,250,1561.148649
125.723684,211,1565.686819
175.346205,79,1567.485735
164.907869,135,1570.484638
-57.151762,250,1576.118034
180.846125,60,1577.437047
160.831356,164,1580.94547
-74.689123,250,1586.369493
-66.087368,250,1591.616512
-53.13537,250,1596.853312
-58.762165,250,1602.226605
195.546217,15,1602.571941
-71.580226,250,1607.873532
164.300627,166,1611.438244
154.011102,139,1614.483794
-78.922775,250,1619.867647
-77.960169,250,1625.128707
-77.900786,250,1630.341242
-71.870086,250,1635.611269
-74.685273,250,1640.84953
-54.035708,250,1646.196254
190.307099,51,1647.280383
190.351604,36,1648.054548
-80.936678,250,1653.28379
-109.751053,250,1658.576398
199.669595,2,1658.63414
161.997057,206,1663.009792
-76.284586,250,1668.281645
-102.101971,250,1673.587135
171.53724,122,1676.241826
171.318954,136,1679.134847
-76.783743,250,1684.625406
152.903581,158,1688.206954
-64.149507,250,1693.524827
-51.306528,250,1698.859733
199.666447,2,1698.917833
194.299287,30,1699.694199
188.055157,46,1700.758942
174.235205,136,1703.723326
-65.836552,250,1709.056659
188.251763,44,1710.058255
177.313272,101,1712.201671
173.32659,113,1714.807696
-70.817943,250,1720.502908
-74.45634,250,1725.910433
189.24684,48,1726.966973
190.526069,31,1727.652687
168.352119,104,1729.876666
-57.843904,250,1735.360538
-72.145094,250,1740.743036
155.777483,152,1744.037529
165.329353,109,1746.399941
155.472442,166,1750.090227
-65.837466,250,1755.440217
189.851087,29,1756.085697
-67.22374,250,1761.446794
137.260108,246,1766.64593
188.782468,65,1768.050586
152.72124,230,1773.028652
195.458598,16,1773.387033
-49.341751,250,1778.857538
198.772153,7,1779.021386
170.384258,124,1781.666354
-74.739361,250,1786.950933
-61.627847,250,1792.43394
-49.95593,250,1797.774303
197.379187,14,1798.088579
199.349731,4,1798.189682
154.702965,166,1801.756793
198.378679,7,1801.921325
-59.366096,250,1807.236851
-78.950632,250,1812.575582
-52.293959,250,1817.972457
-52.445188,250,1823.27952
191.918519,31,1823.96863
174.755122,111,1826.40994
161.187741,144,1829.509079
197.605668,12,1829.775617
197.615548,13,1830.068623
-44.957512,250,1835.318981
162.081505,119,1837.901074
194.647064,23,1838.39783
194.516096,24,1838.914043
167.556477,108,1841.205287
-73.902816,250,1846.518391
-66.070575,250,1851.729044
-64.828171,250,1856.901595
195.670405,20,1857.351332
-74.39748,250,1862.691633
197.407755,12,1862.960245
138.044387,219,1867.707498
-85.027921,250,1872.994697
195.708711,24,1873.527971
-75.097727,250,1878.789757
197.43519,11,1879.045584
-56.404367,250,1884.757342
-61.004324,250,1890.234392
166.143537,131,1893.043801
191.123759,29,1893.676225
-82.478346,250,1899.192711
-78.818044,250,1904.496344
141.890422,222,1909.30279
196.8691,8,1909.489616
-56.358575,250,1914.779497
191.460486,34,1915.499646
137.184708,227,1920.376454
172.447378,129,1923.16561
192.449352,36,1924.019967
170.03522,90,1925.925663
155.993657,192,1930.033679
151.635127,209,1934.529724
-72.242632,250,1939.796586
-62.602253,250,1945.037775
-51.1698,250,1950.258176
183.884751,81,1951.973945
188.018193,60,1953.246493
191.986825,32,1953.92834
145.009754,171,1957.567257
171.172338,128,1960.380561
186.361938,57,1961.577679
-73.785726,250,1966.755793
198.369485,11,1966.999166
170.971097,130,1969.827166
183.315642,60,1971.114985
156.994004,143,1974.158842
-74.376506,250,1979.37043
179.344401,76,1980.955661
193.230979,26,1981.511932
177.008141,77,1983.156116
-52.924126,250,1988.400636
166.009922,142,1991.465588
191.411497,40,1992.311563
197.819358,10,1992.538037
189.708179,51,1993.627529
167.856566,142,1996.704221
187.241507,49,1997.805647
161.93546,130,2000.572436
162.256623,192,2004.756466
161.504618,140,2007.777731
168.72754,165,2011.72895
-65.424901,250,2016.975865
-67.617951,250,2022.219933
190.585525,32,2022.897425
-67.274141,250,2028.149841
199.459291,2,2028.220872
-74.125202,250,2033.755002
-70.080193,250,2039.044209
147.96947,230,2043.985148
187.435882,68,2045.502561
-77.048248,250,2050.75084
-72.255328,250,2056.03775
159.857343,203,2060.478617
189.821821,53,2061.627509
-51.919756,250,2066.926406
189.52235,41,2067.956706
-61.326449,250,2073.424847
192.125731,37,2074.239729
-106.263617,250,2079.538552
-72.814729,250,2084.83301
135.200808,248,2090.167591
-69.824597,250,2095.499737
174.290113,118,2098.036247
-52.187181,250,2103.652992
-70.56463,250,2109.155157
-77.24755,250,2114.432702
-63.672071,250,2119.816331
-66.843481,250,2125.082382
196.881488,14,2125.395672
-69.531956,250,2130.715596
-67.534848,250,2136.112038
-81.451559,250,2141.387674
187.446343,40,2142.261187
-73.298253,250,2147.611151
-64.07103,250,2152.807089
172.476117,134,2155.768348
-61.88917,250,2161.108612
-72.292995,250,2166.496415
-72.7384,250,2171.769413
197.76935,12,2172.039205
170.562665,122,2174.662352
198.317974,7,2174.821628
197.013453,14,2175.148011
153.130696,207,2179.589794
183.525753,81,2181.376415
-61.467806,250,2186.710813
-63.0707,250,2192.118382
184.092663,84,2193.979961
-63.634418,250,2199.352593
177.752022,119,2201.911219
-85.291053,250,2207.198618
154.7637,144,2210.307261
-80.620285,250,2215.566168
167.928098,103,2217.75933
-56.655668,250,2223.13402
-62.264661,250,2228.522018
179.127485,77,2230.187972
-82.015755,250,2235.632487
168.013618,143,2238.751335
-71.850688,250,2244.109856
-88.943344,250,2249.412156
189.646891,51,2250.512245
-83.061193,250,2255.847955
-45.025963,250,2261.230568
175.36598,90,2263.171608
189.864475,38,2263.998233
183.898528,86,2265.888825
-72.193392,250,2271.321743
-66.964953,250,2276.691243
-81.308303,250,2282.034892
185.68114,74,2283.719344
133.47783,249,2289.027813
-68.532624,250,2294.284728
-50.850273,250,2299.527905
-65.124688,250,2304.795813
191.675728,33,2305.501212
-55.306884,250,2310.819395
196.609155,16,2311.169805
-71.321283,250,2316.415438
177.961696,66,2317.82917
-78.902091,250,2323.13013
172.04863,130,2325.884588
194.321287,24,2326.406133
160.07557,183,2330.256432
192.746267,24,2330.778584
189.936346,38,2331.588113
167.49613,161,2335.017873
185.579248,54,2336.176366
194.3897,27,2336.761342
-57.906629,250,2341.920305
147.093594,225,2346.642444
-80.320862,250,2351.924224
158.697352,181,2355.847857
-52.467076,250,2361.123693
-60.151247,250,2366.475221
-61.44376,250,2371.88365
-79.020482,250,2377.291838
171.399301,108,2379.656206
197.14727,12,2379.923077
194.330976,19,2380.354424
124.180452,206,2384.767453
-64.29917,250,2390.124314
171.929489,95,2392.176349
157.673581,156,2395.537769
193.995663,31,2396.224361
196.817174,16,2396.587203
188.890019,38,2397.395864
191.159222,43,2398.322384
-68.683787,250,2403.636328
-75.650311,250,2408.999642
177.66474,112,2411.402798
-54.094525,250,2416.777905
-65.621293,250,2422.143134
155.434108,180,2425.980984
-74.028861,250,2431.238867
-77.464863,250,2436.576316
-49.266405,250,2441.893646
-45.879079,250,2447.239466
190.619307,40,2448.103459
174.696301,106,2450.454625
-85.435727,250,2455.917404
-72.290612,250,2461.204925
-73.438391,250,2466.602329
-80.591122,250,2471.867206
192.551157,37,2472.700161
176.941915,117,2475.216551
-52.518384,250,2480.581169
-82.337283,250,2485.934148
-71.518028,250,2491.341027
177.990396,103,2493.566055
178.999581,113,2496.09083
189.504256,39,2496.948841
163.482711,128,2499.704326
-67.141849,250,2504.988114
148.198848,166,2508.495778
-77.59735,250,2513.80959
-92.265644,250,2519.128273
-98.893663,250,2524.447905
180.601235,96,2526.505209
174.206732,74,2528.123588
-81.697636,250,2533.613763
188.961857,40,2534.488565
167.361868,123,2537.169196
189.251761,56,2538.480601
157.198872,159,2541.906133
199.076879,4,2542.007939
-62.510799,250,2547.310688
-47.855596,250,2552.66391
-77.084904,250,2558.034925
194.200506,21,2558.501205
196.303548,15,2558.845372
168.881207,122,2561.459431
-80.935322,250,2566.733421
188.289266,59,2568.00419
177.872727,91,2569.969409
-48.757283,250,2575.398758
181.64617,78,2577.086817
-76.897218,250,2582.567894
188.397041,36,2583.361219
177.749762,87,2585.228795
197.900406,10,2585.458412
192.289155,42,2586.371378
196.59439,19,2586.795889
190.728107,48,2587.849949
186.982761,55,2589.025493
193.026938,20,2589.475377
150.725566,249,2594.833007
-79.169461,250,2600.176648
-75.09414,250,2605.53574
-79.453832,250,2610.842706
-75.082476,250,2616.173728
182.71098,59,2617.468619
-60.607731,250,2622.885431
-86.769035,250,2628.292376
-63.374257,250,2633.765868
-79.355976,250,2639.049861
174.396229,106,2641.317612
176.389141,90,2643.264328
-52.557604,250,2648.630801
199.151588,3,2648.711993
-88.070408,250,2654.103693
160.934266,146,2657.26401
161.542013,182,2661.15609
-81.071135,250,2666.537842
199.157873,4,2666.639087
192.041876,36,2667.470643
197.344358,14,2667.800435
-86.994798,250,2673.19087
198.311747,10,2673.422843
-49.150719,250,2678.791625
-67.613872,250,2684.104614
-76.573535,250,2689.355287
-79.342821,250,2694.670574
158.072303,172,2698.362516
-71.998172,250,2703.705052
-82.549252,250,2708.965907
180.021888,105,2711.222864
170.725065,146,2714.400294
-87.818764,250,2719.654632
153.833527,177,2723.344778
-65.696248,250,2728.673167
147.466089,237,2733.791559
142.909105,204,2738.171312
-60.90785,250,2743.566992
-75.843718,250,2749.008951
195.570825,18,2749.417745
-45.250258,250,2754.738103
139.079406,169,2758.320266
-83.166307,250,2763.646169
-56.73638,250,2768.962925
173.80334,99,2771.112644
195.45416,17,2771.490339
-60.820885,250,2776.902874
-73.726172,250,2782.250753
-50.641055,250,2787.546463
160.249253,168,2791.168392
149.291418,188,2795.270145
-78.090794,250,2800.646384
188.13297,48,2801.682006
172.497707,112,2804.152522
199.212458,4,2804.254722
198.944607,5,2804.376208
159.970316,177,2808.132793
-82.420378,250,2813.423334
199.327079,5,2813.543786
-82.891789,250,2818.851063
145.32391,176,2822.678612
196.304042,14,2823.03915
191.995626,38,2823.853815
192.960716,31,2824.52923
-54.209247,250,2829.828944
-61.769469,250,2835.169142
-66.760263,250,2840.512884
193.265429,33,2841.240357
