#{"t_start": 1740634819.5324917, "env_id": "None"}
r,l,t
5.323476,42,2.289
-0.60177,60,3.617795
-1.116734,60,3.765928
-0.773283,60,3.908108
-1.358036,60,4.064176
-2.726559,60,4.206999
-3.15472,60,4.362401
-1.453462,60,4.499858
-2.557758,60,4.639921
-10.920707,35,4.742825
5.71474,26,4.822451
-0.583248,60,4.970025
-1.057602,60,5.115026
5.928913,11,5.142446
-2.58481,60,5.286069
5.959344,9,5.310565
5.717423,32,5.400667
5.086514,53,5.536189
-0.619089,60,5.679601
-1.844577,60,5.820946
5.436957,51,5.967333
-0.792762,60,6.105264
-0.468365,60,6.246797
-0.481077,60,6.391387
-2.791843,60,6.535069
-1.20586,60,6.679857
5.011588,59,6.817441
4.610056,28,6.933114
-2.16161,60,7.076228
-1.037302,60,7.245148
-1.837795,60,7.385583
-0.974035,60,7.530771
5.603592,31,7.604985
5.419177,53,7.731897
5.92202,14,7.768191
5.829416,23,7.820662
-0.987205,60,7.967892
-2.300136,60,8.108082
-0.783848,60,8.256642
-2.187939,60,8.393914
-0.867918,60,8.79192
-1.724018,60,8.935702
-1.877675,60,9.085699
5.962261,9,9.107158
5.729751,31,9.179897
5.611512,41,9.279424
-1.687198,60,9.428751
-0.694296,60,9.571526
-1.118561,60,9.726824
-0.555901,60,9.884082
-0.58519,60,10.056819
5.590164,39,10.145271
-1.116727,60,10.289362
-0.883405,60,10.425247
-1.073248,60,10.564138
-0.955247,60,10.705198
-1.765175,60,10.846551
-0.945338,60,11.001326
-0.800505,60,11.12985
-0.904693,60,11.243163
-1.628835,60,11.35621
-1.188153,60,11.472131
-2.441735,60,11.580485
4.042887,46,11.668936
-3.229772,60,11.786226
-2.006908,60,11.901369
-1.144579,60,12.053732
-1.209976,60,12.202554
-0.604739,60,12.320127
-2.172021,60,12.44024
-0.877975,60,12.55772
4.787276,20,12.596591
-2.465948,60,12.732947
4.3736,58,12.842806
-1.149324,60,12.955057
-2.09953,60,13.104494
-2.592849,60,13.218399
-1.010091,60,13.428737
-1.048165,60,13.546297
-1.783157,60,13.66574
-1.120427,60,13.783725
-0.860661,60,13.911223
-0.655945,60,14.031407
-0.695928,60,14.170167
-2.099118,60,14.310305
-0.87755,60,14.441127
-1.862131,60,14.554588
-1.575666,60,14.666535
-1.011179,60,14.786155
-0.934429,60,14.907028
-1.153793,60,15.025781
-1.377312,60,15.147574
-1.083353,60,15.270882
-1.294788,60,15.396278
-1.490926,60,15.520818
-2.032918,60,15.639848
-1.926431,60,15.759211
-2.254329,60,15.87958
-0.745711,60,16.031376
-0.625005,60,16.159813
-0.883247,60,16.281115
-2.229448,60,16.392963
3.983072,49,16.493572
-0.855507,60,16.61662
-1.912695,60,16.737371
-3.838295,60,16.857951
-0.85215,60,16.975964
-1.855657,60,17.131684
-1.247769,60,17.259286
-1.462011,60,17.384466
-0.957107,60,17.503019
-0.967361,60,17.738078
-1.88244,60,17.861004
-1.292226,60,17.983417
-3.221818,60,18.154046
-1.242638,60,18.275343
-1.70517,60,18.398918
-0.746904,60,18.52126
-1.645167,60,18.638695
-0.875147,60,18.763391
-1.006925,60,18.888973
-1.162608,60,19.006795
-1.633623,60,19.162198
-1.448172,60,19.275027
-1.122241,60,19.388227
-1.719724,60,19.506323
-1.823293,60,19.624499
-2.084195,60,19.743003
-2.254773,60,19.85647
-0.61859,60,19.973716
-2.139404,60,20.088948
-1.484964,60,20.212815
-1.759457,60,20.326656
-2.077947,60,20.441118
-1.188985,60,20.553171
-2.304527,60,20.675222
-2.160001,60,20.788584
-1.379563,60,20.905409
-0.776541,60,21.016974
-1.612713,60,21.132307
-1.294738,60,21.247628
-1.457767,60,21.392617
-1.679827,60,21.501753
-1.711879,60,21.612997
-1.078623,60,21.739182
-3.606717,60,21.970984
4.00951,47,22.061074
-2.66605,60,22.167274
5.560452,48,22.269749
4.165341,47,22.375598
-1.060993,60,22.48659
-0.825061,60,22.601421
-2.464717,60,22.71391
-1.675395,60,22.826489
-1.336581,60,22.938164
-1.038316,60,23.053076
-2.745258,60,23.165663
4.676562,22,23.209652
-1.806012,60,23.325833
-4.593847,60,23.436795
-1.441748,60,23.552257
-2.351695,60,23.700267
-1.79577,60,23.813576
-0.746171,60,23.927996
-0.300124,60,24.039899
-0.606459,60,24.154805
-1.567646,60,24.266584
-1.300002,60,24.379181
-1.691824,60,24.491696
4.012696,52,24.57849
-1.464413,60,24.70875
-1.002111,60,24.822567
-2.688449,60,24.933396
-0.769114,60,25.050369
-0.630245,60,25.161247
-1.37027,60,25.277354
-1.402501,60,25.392917
-3.474955,60,25.51031
-1.794073,60,25.625454
-2.297012,60,25.741626
-1.950375,60,25.892322
-1.601758,60,26.107398
-3.46749,60,26.224974
-1.5823,60,26.346524
-1.993273,60,26.458543
-2.488135,60,26.570475
-2.285933,60,26.680904
-1.082005,60,26.796561
-1.570422,60,26.925761
-1.330484,60,27.040635
-2.798139,60,27.158808
4.457646,30,27.21496
-1.073782,60,27.331968
-1.574596,60,27.445728
-2.12403,60,27.561476
-0.818693,60,27.673183
-3.489826,60,27.793351
-1.701234,60,27.908696
-1.12935,60,28.026379
-0.938615,60,28.145833
-1.194939,60,28.257577
-12.516685,47,28.349401
-1.510645,60,28.480965
-2.69018,60,28.596103
5.259359,55,28.700921
-0.576058,60,28.814574
-1.61947,60,28.934
5.8867,17,28.968969
-0.559377,60,29.085677
-0.999248,60,29.204946
-0.809109,60,29.318894
-2.36723,60,29.4324
5.519997,44,29.518213
5.744656,41,29.597533
-0.721431,60,29.713469
-3.963952,60,29.828349
-0.669863,60,29.94134
-2.463287,60,30.149902
-11.32154,55,30.256992
-1.681901,60,30.380641
-0.494812,60,30.495104
-1.593885,60,30.608655
-0.558734,60,30.722867
-1.09675,60,30.838344
-1.06317,60,30.951082
-1.059265,60,31.066088
-1.416247,60,31.177227
-2.140247,60,31.274173
-1.608455,60,31.413152
-1.800526,60,31.536464
-1.384789,60,31.658438
-1.82774,60,31.780695
-1.596671,60,31.89959
-2.777158,60,32.016401
5.418587,40,32.107022
-0.549817,60,32.233815
-1.858773,60,32.34908
4.581854,22,32.394157
-1.242254,60,32.509479
-11.844547,35,32.576844
5.631425,33,32.652602
-2.093541,60,32.768663
-0.687492,60,32.884214
-0.680201,60,32.998735
-0.726971,60,33.115132
-3.148159,60,33.23367
-0.951022,60,33.348077
-1.352473,60,33.461073
-0.846213,60,33.580931
-1.267547,60,33.694607
-1.936211,60,33.812838
-2.059557,60,33.932109
-1.773176,60,34.0431
-2.219292,60,34.269369
-2.172205,60,34.387828
-2.608827,60,34.504242
-1.345858,60,34.622288
-2.493334,60,34.738593
-0.69715,60,34.859654
-0.980889,60,34.974981
-3.209121,60,35.09265
-0.65885,60,35.204786
-2.102839,60,35.322985
-0.648869,60,35.441689
-1.642414,60,35.532312
-0.837286,60,35.652188
-0.58044,60,35.76122
-1.936281,60,35.875931
3.882474,49,35.984328
-2.753138,60,36.120187
-1.333033,60,36.258994
-1.430262,60,36.410138
3.821336,50,36.52052
-2.228979,60,36.655057
-1.559348,60,36.792556
-3.551757,60,36.921669
-1.548728,60,37.063165
-1.848985,60,37.200077
-2.794162,60,37.337265
-1.612189,60,37.474038
-1.825227,60,37.609555
-2.704011,60,37.747285
-1.271077,60,37.883625
