#{"t_start": 1740994138.015424, "env_id": "None"}
r,l,t
-8.617592,565,3.728296
2.19292,132,3.923037
-51.487217,31,3.970027
-60.918633,248,4.35454
-72.016904,612,5.318264
-57.076627,237,5.715182
-56.510861,700,7.067756
-52.710295,17,7.097727
-77.994011,512,7.900923
-111.996439,566,8.78584
-103.117477,487,9.635235
-116.790208,571,10.400901
-80.330795,700,11.294333
-81.201988,197,11.595993
-88.941661,452,12.185147
-78.845699,359,12.734022
-79.995608,421,13.2692
-64.753374,700,14.109345
-62.804899,185,14.33484
-110.960352,508,15.060492
-75.244763,700,15.935615
-71.797671,275,16.288265
-133.41262,601,17.11002
-62.537444,212,17.424195
-62.61361,700,18.42944
-50.159909,2,18.433005
-99.811218,570,19.161365
-122.540577,587,19.872802
-63.422493,206,20.126481
-71.625596,700,21.065958
-75.1265,297,21.421139
-84.814657,700,22.277299
-69.740205,373,22.735825
-93.802016,656,23.608274
-40.710413,700,24.458883
-44.539132,700,25.314058
-62.096534,92,25.439191
-39.9992,700,26.395315
-66.269297,700,27.302991
-77.48206,555,28.002371
-108.7461,666,28.924429
-94.586697,536,29.625244
-33.826372,700,30.478352
-50.730447,15,30.497799
-61.823888,169,30.784052
-37.878005,700,31.710677
-69.066135,700,32.524819
-75.306235,700,33.352675
-51.510559,12,33.368181
-47.067974,700,34.335976
-103.806596,459,34.891826
-114.471519,573,35.594226
-78.734182,700,36.604969
-52.633648,23,36.633681
-88.412486,500,37.278565
-52.459176,700,38.162373
-55.232788,44,38.223806
-100.534519,545,38.974752
-67.325498,700,39.854191
-60.582107,75,39.950749
-63.570774,700,40.782212
-52.728611,20,40.806999
-91.043691,440,41.348064
-54.822291,700,42.257827
-107.135931,700,43.070583
-111.549791,410,43.561672
-99.806948,547,44.295942
-61.399332,337,44.70963
-75.903546,700,45.549845
-78.314254,214,45.805426
-70.273944,700,46.722332
-88.982787,700,47.562677
-55.059586,36,47.606303
-62.250554,700,48.4482
-80.204971,700,49.348577
-67.287382,232,49.626268
-62.522713,700,50.468642
-58.804468,110,50.609182
-37.083135,700,51.446607
-80.059138,214,51.78149
-35.857004,700,52.619037
-82.081993,700,53.444124
-62.950993,85,53.545508
-79.919166,700,54.454737
-100.90791,580,55.125654
-68.583901,700,55.954305
-93.535988,491,56.526485
-49.561717,700,57.438478
-90.475547,288,57.780877
-75.517437,574,58.460899
-46.223205,700,59.368765
