#{"t_start": 1741019779.7545452, "env_id": "None"}
r,l,t
-59.380387,223,2.950934
-68.329685,700,4.128053
-72.025395,287,4.602921
-93.482985,458,5.349859
-60.835395,120,5.573165
-87.719775,477,6.484389
-109.731302,667,7.426113
-81.732009,361,7.934391
-81.515865,428,8.53859
-63.445834,700,9.590261
-53.737926,62,9.675946
-63.624382,199,9.96511
-68.05586,700,11.004931
-115.230854,670,11.991621
-63.904118,224,12.394892
-111.416241,636,13.294322
-61.082475,222,13.645
-66.538176,298,14.061461
-76.273686,433,14.650098
-125.046265,636,15.637902
-82.248798,402,16.188959
-105.254965,497,16.872826
-84.2189,379,17.413635
-90.852539,510,18.235075
-96.862975,464,18.915039
-85.419997,700,19.944556
-59.999565,90,20.070221
-109.032567,421,20.670261
-62.278963,175,20.934234
-94.933071,344,21.519986
-69.678169,700,22.511367
-51.947607,36,22.560194
-125.923688,593,23.408399
-95.580653,700,24.465684
-98.800579,504,25.162906
-96.333908,475,25.819625
-51.232128,700,26.778816
-58.639859,113,26.945323
-73.355111,700,28.004595
-138.691842,668,28.937792
-81.608732,700,29.905206
-112.458878,493,30.653306
-62.390713,700,31.649296
