#{"t_start": 1742857288.5706923, "env_id": "None"}
r,l,t
-109.85981,61,2.775783
-172.322516,442,4.342229
-120.913137,173,4.794966
-128.694528,282,5.497059
-131.058751,70,5.674666
-113.651182,125,6.027914
-118.673465,50,6.17113
-112.101423,75,6.356175
-141.749493,368,7.268766
-106.742167,166,7.72221
-112.71029,215,8.248788
-113.049177,356,9.109815
-113.493348,133,9.434642
-107.737857,52,9.579261
-115.673205,32,9.668723
-135.963526,667,11.649365
-164.514622,945,14.090855
-137.613561,367,15.034414
-125.142683,359,15.944233
-126.626664,334,16.820967
-135.512355,416,17.88322
-162.189626,545,19.480778
-121.941645,248,20.136188
-135.713671,494,21.364358
3.931605,244,21.961004
-135.401492,401,22.811728
-104.61508,112,23.049045
-114.08811,219,23.506217
-121.116687,130,23.775304
-116.10414,323,24.431538
-121.969722,275,25.050329
-122.716456,139,25.344822
-105.411208,119,25.597777
-112.779536,276,26.163995
-133.191592,282,26.942601
-131.037028,327,27.606726
-119.194203,299,28.27281
-124.194536,239,28.767555
-180.130377,757,30.287525
-125.686879,314,30.950466
-156.593033,466,31.929793
-132.893148,481,33.115224
-153.307618,439,34.027642
-139.965272,388,34.852294
-145.245965,673,36.200954
-143.285513,456,37.150633
-157.538139,781,38.769533
-153.487388,487,39.922989
-127.952193,458,40.866242
-201.156223,1270,43.429984
-158.856127,622,44.732579
-112.919919,224,45.233034
-104.304504,153,45.55391
-119.800883,358,46.428919
-139.252408,415,47.268498
-132.683737,594,48.497839
-162.366562,540,49.600474
-158.767453,600,50.798604
-234.767995,1347,53.685935
-183.916745,775,55.293939
-154.122931,837,56.992632
-145.175275,440,57.884873
-149.524526,497,59.057954
-170.065891,765,60.67757
-172.534459,834,62.355824
-124.781776,436,63.236338
-169.82393,796,64.846546
-105.140407,1500,68.001069
-173.094179,1100,70.217942
-153.249725,1014,72.477645
-149.29495,693,73.897587
-136.685166,142,74.221951
-212.947084,1267,76.745825
-202.696926,1037,79.04249
-182.787649,961,81.040867
-116.209988,336,81.744667
-187.471039,1161,84.069358
-169.638058,870,85.980082
-156.803417,583,87.227857
-157.031051,1500,90.24721
-139.599879,770,91.972452
-246.690387,1471,94.989119
-204.17305,1032,97.08997
-165.210157,799,98.838355
-200.375115,1385,101.61088
-228.225958,1356,104.551988
-150.585768,806,106.215252
-107.053347,1500,109.253361
-240.339111,1223,111.919747
-229.496801,1343,114.709596
-130.783336,1500,117.844584
-156.618348,558,119.023539
-134.679447,1500,122.054912
-210.422046,1358,124.988707
-125.574278,1500,128.084417
-168.132743,662,129.555655
-143.274934,1500,132.6683
-42.472875,690,134.093065
-101.632193,55,134.200892
-117.142937,1500,137.360015
-100.46741,11,137.384466
-188.107368,1015,139.54788
-207.395862,1323,142.362353
-102.982931,1500,145.41299
-178.109486,975,147.326179
-149.864997,1500,150.479552
-135.285872,278,151.080452
-163.100138,1040,153.152445
-114.304777,1500,156.311938
-143.742935,385,157.088201
-170.955766,806,158.767858
-91.251098,1500,162.009707
-148.950224,399,162.809172
-127.312612,1500,165.830709
-174.404386,743,167.315307
-155.979015,599,168.715213
-109.301135,1500,171.771136
-108.863186,1500,175.003423
-106.100333,55,175.122069
-168.042851,1449,178.031226
-106.971884,182,178.467353
-105.740401,1500,181.628218
-148.601469,579,182.785965
-154.933219,1500,185.795668
-162.892805,634,187.190419
-137.59276,1500,190.212249
-139.653084,1500,193.33838
-178.522948,743,194.856017
-182.078829,1500,198.013425
-192.067623,1500,201.305723
-156.048434,463,202.282155
-128.761215,1500,205.361158
-138.191527,1500,208.491535
-104.588732,1500,211.481209
-142.577298,491,212.583431
-129.783376,1500,215.689456
-109.885962,220,216.11802
-137.373204,1500,219.342094
-105.090036,1500,222.441177
-138.320711,1500,225.709504
-129.443312,1500,228.790072
-140.814598,544,229.865214
-130.176632,1500,233.089473
-133.306442,1500,236.217805
-171.28303,1500,239.392869
-89.488625,1500,242.436366
-133.631666,1500,245.5825
-167.165626,764,247.088919
-139.842755,1500,250.201309
-136.728475,1500,253.318247
-158.353037,1500,256.459063
-141.362337,1500,259.620011
-221.307643,1379,262.520295
-100.282405,1500,265.677516
-137.933615,1500,268.702222
-125.478703,1500,271.85749
-133.982206,1500,274.940046
-108.584213,125,275.203166
-148.550772,1500,278.432106
-115.34988,1500,281.428164
-115.521352,1500,284.588632
-123.313929,1500,287.613145
-136.437404,1500,290.731088
-171.520443,1500,293.848322
-122.380531,1500,297.053492
-139.405854,543,298.145597
-148.351557,823,299.893494
-185.420482,1291,302.763597
-116.705178,597,303.942359
-69.617235,1500,307.011375
-108.312524,193,307.407642
-101.445542,81,307.585033
-106.102917,210,308.001583
-87.880504,1500,311.240034
-63.392767,1500,314.290147
-106.143142,1500,317.479929
-136.739122,1500,320.50657
-86.720242,1500,323.56926
-120.494495,277,324.118253
-57.202698,1500,327.114552
-89.915035,1500,330.315835
-113.153458,356,331.035023
-181.206577,1354,333.801371
-94.393042,1500,336.874238
-110.507057,155,337.182313
-166.379791,1398,340.096153
-57.377583,1500,343.304168
-76.705555,1500,346.300188
-149.835483,991,348.415279
-43.254581,1500,351.525475
-107.08841,161,351.842428
-69.973209,1500,355.035596
-100.112932,3,355.045302
-95.778458,1500,358.137075
-166.970748,715,359.754073
-70.746453,1500,362.688089
-70.732165,1500,365.967728
-87.983528,1500,368.892498
-89.634055,1500,371.980458
-145.329823,1500,375.062828
-185.562816,1243,377.618271
-134.636625,897,379.617679
-139.925566,1500,382.733289
-137.92777,1500,385.935619
-190.840755,908,387.747297
-113.398024,1500,390.811977
-138.010348,1500,394.052084
-140.595766,1500,397.155188
-110.759125,1500,400.379392
-110.90267,1500,403.511515
-100.892547,1500,406.659843
-110.460729,1500,409.673703
-79.642916,1500,412.863834
-84.255606,1500,415.934364
-79.510218,1500,419.107691
-68.909187,1500,422.178466
-77.159824,1500,425.327665
-59.430372,1500,428.376213
-51.883569,1500,431.66165
-83.200491,1500,434.757919
-3.858312,405,435.596808
-132.639594,1500,438.875487
-112.464321,143,439.166747
-144.016796,544,440.2628
-126.665503,1500,443.505581
-101.629322,1500,446.498523
-121.125748,1500,449.698107
-44.530637,1500,452.708825
-100.302497,1500,455.916551
-70.165239,1500,458.909658
-104.522873,83,459.078283
-53.323509,1500,462.338908
-39.901805,1500,465.40584
-128.200401,598,466.654021
-56.044799,1500,469.8982
-77.101861,1500,472.888641
-88.614106,1500,476.11744
-160.397615,970,478.031594
-59.077538,1500,481.302865
-110.595615,220,481.732635
-83.152664,1500,484.72275
-44.724586,1500,488.019443
-116.132213,315,488.638457
-83.659625,1500,491.703086
-67.399301,1500,494.865104
-134.897244,1500,497.818794
-55.033664,1500,501.014334
-92.278243,1500,504.062243
-0.245489,424,504.925298
-150.531548,1155,507.45355
-53.71418,1500,510.480356
-89.032267,1500,513.714679
-94.465343,1500,516.692058
-104.777999,1500,519.940305
-120.838201,326,520.590456
-156.570441,722,522.060176
-55.715228,1500,525.154164
-68.239414,1500,528.370197
-46.690866,1500,531.38094
-69.303709,1500,534.625989
-46.506827,1500,537.736886
-68.506854,1500,540.95774
-95.096293,1500,543.921575
-48.485449,1500,546.982647
-79.981249,1500,549.98092
-50.180326,1500,553.137906
-51.126441,1500,556.148037
-56.414673,1500,559.301385
-70.95644,1500,562.279867
-51.906744,1500,565.430754
-67.90975,1500,568.435688
-85.137401,1500,571.698263
-63.079368,1500,574.705556
-71.570858,1500,577.964769
-75.803612,1500,581.011436
-44.451834,1500,584.180815
-92.296583,1500,587.13242
-104.512864,1500,590.369003
-39.963309,1500,593.293739
-64.075508,1500,596.490258
-101.402381,1500,599.477354
-57.161311,1500,602.788414
-45.824204,1500,605.859541
-65.852684,1500,609.010563
-40.725519,1500,612.158858
-70.392401,1500,615.349192
-60.882189,1500,618.420771
-33.923571,1500,621.677962
-87.168201,1500,624.744411
-128.471306,552,625.877435
-5.748128,947,627.971765
-49.444736,1500,630.954846
-64.033991,1500,633.967304
-55.31905,1500,637.235012
-38.80855,1500,640.231081
-80.490906,1500,643.563634
-35.345153,1500,646.557923
-46.993208,1500,649.817869
-36.591188,1500,652.913112
